Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm50	3567220.77352222
perm33	3567676.53436022
perm22	3567832.17706471
perm9	3569045.80384853
perm25	3569155.18658696
perm44	3569324.89850792
perm21	3569334.33322874
perm32	3570667.30944101
perm35	3571010.21734888
perm42	3571087.28792079
perm29	3571103.53968076
perm10	3571105.68055612
perm6	3571113.01599895
perm12	3571348.14363453
perm4	3571530.90868708
perm36	3571598.84343299
perm30	3571602.77522055
perm45	3571624.94327828
perm14	3571626.40148495
perm17	3571626.40148495
perm5	3571807.60258434
perm7	3571940.93705266
perm34	3572401.34393133
perm41	3572661.62910586
perm3	3573541.27068775
perm19	3573862.55176677
perm2	3573864.5147438
perm43	3574094.62463174
perm27	3574650.93162311
perm18	3575838.68432563
perm46	3577017.79558103
perm8	3581638.7888859
perm39	3584584.86364909
perm31	3589510.49108257
perm38	3589940.19314799
perm16	3592623.70364517
perm47	3631707.33629076
perm40	3683442.70452041
perm23	3687137.51161049
perm11	3699763.48394887
perm28	3700626.26877768
perm26	3711596.20237876
perm48	3721194.91505333
perm1	3845377.30422069
perm49	3934806.57276485
perm13	3977255.85552913
perm15	3977668.86637458
perm37	4047268.23956002
perm20	4183654.73162102
perm24	4337034.57893829
