Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm38	3670313.84300147
perm47	3670453.77376824
perm43	3670734.14275544
perm3	3671284.76726912
perm36	3671327.31776057
perm7	3671329.04402083
perm50	3671516.03694834
perm25	3671531.55113283
perm33	3671534.27684315
perm30	3672807.869475
perm28	3672825.48492555
perm24	3672834.66195353
perm46	3672837.98497897
perm22	3672839.78072684
perm14	3672888.03131735
perm45	3672897.58269038
perm42	3672912.14853904
perm49	3673484.6878433
perm1	3675901.3363634
perm44	3677550.14826658
perm48	3677649.15526702
perm37	3680245.97610112
perm19	3681248.78409097
perm18	3685395.66876048
perm12	3687534.9839138
perm4	3687589.40484049
perm2	3688229.36971655
perm27	3693522.55172008
perm16	3694241.63425295
perm10	3705284.40703597
perm15	3722700.83734445
perm17	3735607.92544659
perm23	3750984.41042607
perm40	3751433.167806
perm35	3794976.83640681
perm21	3809876.03709924
perm9	3824385.19094844
perm39	3828422.84668669
perm13	3837082.26539289
perm41	3847590.84381781
perm20	3868335.10749963
perm32	3883622.10602182
perm29	3897360.31156472
perm34	3940795.1177861
perm8	3948817.73096739
perm26	4059495.15628907
perm11	4162253.10347629
perm31	4352524.8104395
perm6	4449142.86429786
perm5	4568548.76081306
