Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm37	3661711.16965505
perm32	3669241.93361169
perm35	3669308.84823127
perm12	3669677.09200164
perm33	3669728.88976162
perm15	3669796.21345436
perm50	3669848.06218683
perm23	3670168.63516463
perm6	3670270.53632872
perm11	3670453.69651642
perm47	3670468.18690604
perm49	3670490.49584589
perm1	3670542.58872639
perm26	3670611.39717136
perm29	3671328.503245
perm2	3671349.97408619
perm36	3671384.35771548
perm28	3671392.3127527
perm5	3671532.95183439
perm17	3671557.59876469
perm40	3671605.43604086
perm38	3680896.91606176
perm9	3682233.16786119
perm27	3683694.35980187
perm13	3687619.46692683
perm8	3690653.32693368
perm46	3694965.63413197
perm21	3695245.73439492
perm10	3695389.39287778
perm45	3700254.44909869
perm42	3701714.45206207
perm43	3702176.47879992
perm4	3702549.02493385
perm22	3703760.88699402
perm41	3723052.21739487
perm16	3732034.9833334
perm24	3756469.29914215
perm18	3760350.487935
perm31	3760762.27084444
perm25	3776313.9850117
perm7	3787654.1667365
perm20	3844792.02785721
perm34	3868174.9077393
perm14	3881951.39521761
perm39	3916271.56188121
perm30	3994891.92676704
perm19	4026874.95186032
perm44	4040201.22138567
perm48	4143261.72126221
perm3	4537937.10227395
