Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm8	3747856.1562584
perm30	3793067.36163868
perm39	4048211.12123691
perm45	4168296.63786616
perm22	4172716.51942551
perm5	4176014.47919275
perm32	4178367.0728462
perm28	4186559.74654037
perm29	4230716.78610806
perm1	4260425.78940469
perm46	4312376.98194223
perm31	4338972.33731503
perm48	4356434.19381438
perm6	4404036.21294254
perm14	4445787.23072673
perm11	4450560.68823728
perm24	4569555.37727138
perm47	4687325.25494061
perm7	4745404.23228744
perm41	5071080.49617636
perm20	6042562.62292277
perm12	6726093.05180301
perm36	7298158.7993554
perm3	8404232.19647314
perm23	8496049.34707949
perm42	9223220.40349674
perm13	9791859.7699169
perm27	10115530.5036413
perm21	10115864.2683721
perm19	11738647.2039246
perm26	13273395.3073374
perm35	14586354.2559518
perm2	15179878.362229
perm40	18021206.7356144
perm33	25143281.0145341
perm43	25383105.5692814
perm38	27835919.2669615
perm4	46622903.19096
perm25	50652691.3244997
perm44	60626867.863052
perm37	64728688.5991184
perm9	212586508.948682
perm18	217367348.292873
perm34	227137802.986761
perm49	288777636.516778
perm16	290595879.004299
perm10	298191232.193499
perm17	300843311.986342
perm15	367254777.638785
perm50	367256137.904916
