Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm48	16462914.0913526
perm50	27486476.2016858
perm5	29033636.4349979
perm41	40250669.9093351
perm22	58080257.6408576
perm2	58846585.0380364
perm47	67571957.0243509
perm38	93536784.9248924
perm33	154165534.602421
perm20	160290382.328967
perm17	166969064.907232
perm13	170379115.165431
perm12	202884225.917832
perm35	230665185.151736
perm11	233524938.80729
perm21	241075725.407181
perm31	252927736.704715
perm25	259161534.878498
perm15	263829988.884505
perm4	269086207.636313
perm1	275077325.666445
perm3	276633762.580211
perm32	287682637.454267
perm40	288163079.191086
perm8	288688105.626595
perm36	289495807.643522
perm18	289812287.845484
perm45	290195222.884194
perm14	291407238.637192
perm44	292801816.844021
perm28	292829229.740414
perm49	293165660.361344
perm43	293200420.051686
perm39	293289795.393619
perm9	293367649.563302
perm27	293373077.605936
perm7	293379462.812487
perm26	293379524.482522
perm16	293395519.861846
perm6	293409678.422654
perm23	293421087.606524
perm30	293533830.921881
perm34	293777882.105368
perm29	298691279.523577
perm24	346765036.644464
perm46	347441745.107543
perm37	354159496.714877
perm19	357527945.607993
perm42	361117345.957477
perm10	366702129.349686
