Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm34	3671327.27362151
perm22	3672834.81769555
perm38	3673199.53849048
perm21	3684278.48178092
perm42	3686864.72022521
perm11	3687052.50333477
perm12	3687666.23099618
perm20	3690387.62930484
perm48	3694845.24943307
perm5	3694913.44395938
perm14	3695020.91425854
perm50	3695034.89488486
perm2	3695035.57793983
perm49	3695096.04313147
perm44	3695614.54436654
perm23	3695653.98329752
perm33	3695746.02648122
perm8	3695812.30908988
perm6	3696051.82324458
perm37	3696091.36878456
perm36	3696331.12403262
perm41	3705391.66943715
perm7	3706164.0704535
perm10	3709337.08731652
perm43	3712531.11145458
perm39	3714870.83653697
perm28	3715271.73001265
perm46	3740362.90161007
perm40	3768458.97994143
perm24	3768922.17596794
perm35	3794517.6945508
perm45	3804705.29190174
perm25	3812023.45565567
perm32	3836794.36253382
perm1	3839208.52188626
perm9	3889135.71463566
perm27	3924477.43976763
perm18	3938626.00271024
perm47	3947213.68905608
perm16	4006043.95631691
perm29	4006659.41677308
perm19	4016612.80464523
perm30	4018205.76523315
perm15	4025019.74425916
perm26	4040744.43786066
perm31	4065989.20748388
perm4	4090760.44063752
perm3	4097086.60615736
perm13	4351973.53170901
perm17	5048917.38850012
