Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm42	3567832.23586044
perm30	3568890.62216211
perm41	3569193.32076119
perm22	3569361.00421355
perm28	3569410.31443772
perm50	3570941.20166923
perm48	3570983.94136977
perm38	3571057.52393615
perm3	3571109.51121923
perm32	3571111.80226268
perm17	3571608.39491813
perm4	3571623.71361351
perm35	3571624.94327828
perm26	3571630.37275967
perm44	3571962.62839403
perm46	3572011.53517255
perm8	3572019.46481445
perm9	3572917.39499258
perm39	3573003.92371593
perm25	3573700.22813603
perm21	3573803.3757377
perm23	3574132.94715427
perm19	3574171.62593914
perm45	3574223.34570144
perm33	3574348.9386041
perm14	3574428.00932397
perm49	3574623.4620554
perm10	3574629.46946394
perm12	3574836.44428799
perm43	3575950.90340454
perm27	3578269.59040784
perm24	3578535.60088945
perm29	3578652.16691104
perm34	3592048.93121968
perm40	3607621.8548653
perm6	3619442.78052866
perm36	3628054.23692418
perm7	3638680.12053284
perm13	3680914.31930979
perm1	3717598.1303913
perm11	3725618.94805801
perm16	3727187.8783841
perm18	3730438.61340168
perm20	3732022.50640561
perm15	3771175.41439473
perm31	3794689.68645163
perm37	3795565.42727866
perm2	3838214.90812216
perm47	3934754.74975788
perm5	4045040.98762642
