Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm42	3584116.82060366
perm5	3592416.7016596
perm28	3594296.38512139
perm39	3594801.63378061
perm38	3596443.35932964
perm8	3596525.95989558
perm46	3596598.42390444
perm22	3596628.19342707
perm49	3596652.62411125
perm20	3596659.93209535
perm11	3597345.11124086
perm24	3597531.67214368
perm27	3597925.93199586
perm36	3598026.43604792
perm44	3600264.8145757
perm32	3600292.36241955
perm33	3603617.05376271
perm35	3608642.72437634
perm12	3610140.55064009
perm37	3610592.22642935
perm50	3610909.40046007
perm17	3614138.5672513
perm9	3614494.49627638
perm16	3614584.64409392
perm6	3614699.86457717
perm30	3616410.90829898
perm15	3617850.83188593
perm7	3628878.09726041
perm13	3629356.37977063
perm25	3631203.56212118
perm1	3631708.95113622
perm34	3643114.2444658
perm3	3646212.73685742
perm40	3664272.23382266
perm18	3668564.33360246
perm21	3689757.42238533
perm19	3699035.91086375
perm23	3742036.77131713
perm47	3752318.09167462
perm43	3774028.4055126
perm45	3812993.85592973
perm4	3876853.46339108
perm14	3888592.93658693
perm48	3890737.8940437
perm10	3949458.61963573
perm2	3965925.78071656
perm26	4006548.56379687
perm41	4027087.80018386
perm31	4032435.91910373
perm29	4536633.69885998
