Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm19	3671370.61716387
perm39	3672835.45893979
perm26	3684278.48745708
perm45	3691450.58344141
perm20	3693349.2758227
perm16	3694140.41490056
perm42	3694182.88495835
perm18	3694237.03959832
perm44	3694913.21068726
perm10	3694924.06330304
perm7	3695036.81987291
perm8	3695036.81987291
perm34	3695036.81987291
perm37	3695036.81987291
perm17	3695744.43231779
perm35	3696009.89931534
perm41	3696012.63513506
perm9	3696051.84209657
perm30	3696270.79605401
perm23	3699037.78859729
perm2	3699279.56436877
perm33	3700974.95607796
perm50	3722782.88443532
perm47	3726000.44050001
perm49	3732221.33136656
perm6	3742943.68303132
perm31	3749093.0851558
perm36	3762542.47818433
perm1	3789286.52488092
perm22	3792436.29825538
perm24	3827044.92565335
perm29	3842614.54161755
perm32	3853986.53063087
perm3	3885700.10048553
perm38	3965778.93454511
perm13	3983250.91212246
perm27	3983762.00024547
perm46	3989950.46825206
perm25	4013549.90948242
perm11	4014624.01516615
perm12	4015390.30228751
perm28	4069009.18493399
perm40	4125900.6979982
perm21	4170352.99036079
perm5	4171131.08861296
perm48	4206486.07260335
perm43	4229336.61543626
perm4	4332848.8388738
perm14	4553116.9076297
perm15	4762400.57012995
