Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm8	3594674.83784457
perm31	3599990.23995814
perm12	3605714.43780952
perm21	3611098.83709579
perm48	3611256.49658791
perm15	3611494.05958541
perm23	3611515.34042513
perm50	3611515.40028208
perm24	3611515.93530022
perm49	3611518.22249837
perm14	3611519.41471356
perm3	3611550.96785165
perm26	3611580.75623268
perm45	3611608.79699577
perm40	3611615.9606208
perm13	3611628.34105744
perm25	3612956.8637034
perm27	3613491.64126317
perm16	3615974.20856283
perm32	3616647.04100993
perm37	3626419.67389862
perm28	3633265.6195179
perm39	3633705.00478531
perm47	3638884.1245491
perm36	3641488.77049564
perm34	3642150.48990992
perm46	3649161.67337408
perm17	3649256.23431187
perm10	3669014.77668528
perm1	3738859.42521224
perm29	3747917.37191593
perm42	3753647.18836335
perm19	3768864.15039537
perm18	3770142.83203067
perm6	3772906.44208855
perm9	3773293.83866545
perm38	3794986.56641151
perm2	3799713.82323305
perm4	3802138.34319633
perm41	3805797.21079944
perm43	3814570.16674035
perm30	3824581.76797753
perm20	3833166.92671232
perm5	3835458.79678398
perm35	3867466.49001371
perm22	3987181.05579354
perm11	3998861.71411428
perm44	4083799.66295627
perm7	4340535.86802648
perm33	5112714.12475107
