Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm28	4472782.71991841
perm14	8171839.52773837
perm50	9048311.53835713
perm47	10122551.6761252
perm41	12937413.762374
perm46	13152855.4047961
perm2	13275196.2508176
perm42	13423008.9428331
perm3	13567446.6865993
perm11	14451134.3884855
perm1	15277115.6981268
perm48	15619669.3223555
perm16	15619835.5239632
perm49	15650928.0729461
perm12	16023041.2010396
perm13	16665857.3743072
perm19	17805682.7029056
perm15	18781869.7578507
perm22	23854297.4544559
perm21	27486942.5638114
perm4	29352146.2376415
perm40	44076996.9491167
perm37	49375290.096259
perm7	57314805.626339
perm38	59954851.9182999
perm20	116600385.923117
perm18	146533913.735744
perm25	244711908.603345
perm10	245758124.572226
perm32	288504253.430499
perm33	288508254.408653
perm23	292699105.665873
perm44	293228248.849173
perm6	293394949.459358
perm36	293398203.598239
perm30	293399894.981019
perm9	320978897.937862
perm34	325724986.670931
perm45	339458661.562263
perm27	364276537.448748
perm39	364386437.66439
perm8	365537622.22206
perm17	365912410.351232
perm26	366319705.083658
perm31	367524135.155676
perm43	368147082.780497
perm5	368194639.04093
perm35	368337861.399884
perm29	368347896.921827
perm24	368590355.294973
