Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm12	3616224.69351653
perm34	3616226.46390331
perm36	3616374.86322125
perm45	3616374.86322125
perm31	3616426.8973472
perm14	3616645.52332834
perm3	3624235.30390789
perm42	3627197.33776856
perm30	3628139.80763557
perm39	3629833.15276954
perm23	3629855.90305811
perm15	3629856.42469695
perm19	3636125.20693986
perm38	3636204.41623488
perm13	3636321.14753027
perm1	3636339.47565479
perm16	3636424.41541136
perm25	3636546.89810642
perm24	3636583.97667472
perm11	3639140.32549164
perm4	3683855.28870715
perm29	3687658.31817854
perm47	3694227.63219615
perm22	3696955.89941443
perm48	3697731.38831751
perm9	3698051.03277322
perm28	3701210.5609162
perm20	3728060.26644706
perm8	3731212.31566416
perm37	3746145.83164815
perm7	3791869.3570056
perm18	3799305.34182227
perm35	3825051.3991424
perm41	3840184.88515367
perm27	3849351.21490868
perm33	3937276.92966
perm46	3938461.97662179
perm6	3941181.18194892
perm26	3952283.56868911
perm43	3959702.78416615
perm49	3966013.97451857
perm10	4008925.0038215
perm44	4038673.06966617
perm21	4148141.84844483
perm32	4271897.55729023
perm17	4301128.66973439
perm2	4339054.51627974
perm40	4435473.21429973
perm5	4771846.66590868
perm50	4809471.79965405
