Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm43	9501129.52367307
perm34	10113456.0910116
perm6	10310497.2728712
perm4	10760930.1855789
perm42	12727850.0715552
perm18	13967747.6291833
perm13	15394955.5104133
perm22	16496831.562168
perm35	19164397.4713549
perm14	25160389.0529513
perm32	27486476.1075629
perm41	29006654.3332954
perm31	43753570.2869628
perm37	47193597.9019161
perm47	53596961.350358
perm33	53870484.426115
perm21	57202871.2191413
perm17	58456210.4142915
perm15	64390989.598109
perm3	73024587.3799768
perm1	74196853.8690562
perm28	79172059.4898854
perm36	81279345.3026282
perm44	130130017.490592
perm48	144157649.550665
perm2	153408525.885571
perm27	193816274.317349
perm9	220464260.699636
perm16	245208296.828422
perm10	252135592.406229
perm5	284789489.253808
perm40	286115049.015711
perm50	288850032.726613
perm25	291679254.361012
perm46	292148982.309879
perm24	293241511.480609
perm20	293322124.74237
perm11	293330228.699716
perm8	293351485.034781
perm29	293391929.340503
perm7	326302461.145736
perm26	334005295.002206
perm12	340293492.246124
perm39	355818547.368606
perm23	361899012.820064
perm38	365065126.118704
perm49	365555442.507107
perm30	366567112.434772
perm19	368233788.456736
perm45	368277978.477698
