Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm16	3611515.34042513
perm20	3611519.57904199
perm35	3612287.5389007
perm47	3613516.23740645
perm19	3616302.68959171
perm12	3616329.85236131
perm48	3616394.76267995
perm41	3616395.06469169
perm25	3616400.21016119
perm30	3616415.51681335
perm27	3616433.8703392
perm21	3616440.04968825
perm9	3616455.19089115
perm49	3616469.32210366
perm50	3616521.43744797
perm29	3616555.49050154
perm32	3616569.41739269
perm22	3616645.52333121
perm46	3616669.81337718
perm11	3625747.56940192
perm4	3630631.44620466
perm28	3648907.15024409
perm39	3650027.30588746
perm13	3655319.24997292
perm18	3655914.21323214
perm40	3666214.50731304
perm45	3689832.9063424
perm43	3704011.07352575
perm23	3704213.97897399
perm42	3724549.17076128
perm8	3728769.132753
perm36	3728981.88112246
perm1	3729567.88782506
perm34	3729664.0185201
perm44	3731554.90679523
perm38	3740930.65252126
perm33	3745865.67742516
perm3	3762507.11198505
perm17	3784249.55358676
perm2	3785969.77809066
perm5	3797474.37848328
perm14	3798508.24888936
perm26	3815658.68934802
perm24	3833765.06395744
perm7	3893870.82802506
perm37	3927779.74398701
perm31	3938106.56014949
perm10	3952001.11131488
perm15	3982033.97735329
perm6	4091177.33416006
