Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm43	3661666.66547998
perm15	3661711.15089921
perm28	3661717.28261062
perm27	3661756.75501453
perm44	3661760.10724454
perm41	3661767.1535828
perm36	3661787.81719956
perm14	3661858.40393383
perm20	3662201.25162292
perm18	3664609.0916446
perm42	3668787.33607652
perm34	3669314.82740494
perm35	3670158.87630764
perm26	3670391.41674905
perm50	3670453.4019349
perm45	3671374.90464789
perm3	3672932.45097548
perm11	3675351.65818253
perm47	3682651.5676562
perm23	3683417.04606723
perm13	3683715.84570038
perm49	3687479.28994772
perm46	3690251.77612773
perm48	3690890.39775324
perm39	3694744.62492648
perm29	3694750.34455886
perm22	3697185.93067524
perm40	3700197.93225897
perm5	3702398.85775555
perm30	3703146.23905955
perm21	3703648.38715059
perm25	3703689.3366788
perm33	3712993.48161872
perm1	3715129.29233584
perm16	3715532.96757288
perm17	3717536.22811119
perm7	3720978.44541904
perm8	3724391.58860295
perm9	3745634.67263783
perm10	3753897.89726352
perm4	3765889.07748961
perm2	3823552.12706433
perm24	3887007.13409613
perm38	3908649.66193689
perm12	3920612.82976491
perm37	3933037.58054006
perm32	4037023.26701765
perm6	4040430.2026754
perm19	4403958.10389349
perm31	4502199.38104761
