Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm14	3696051.84469655
perm50	3704394.86447764
perm32	3704651.70226592
perm43	3709843.51441372
perm38	3715468.22479812
perm44	3718226.45277563
perm17	3729375.26939735
perm18	3744159.3412358
perm48	3748965.28286167
perm25	3781794.30549046
perm24	3782779.80128471
perm42	3784818.18606031
perm13	3792606.30788248
perm47	3792616.03533447
perm49	3792946.36895693
perm36	3799867.72504956
perm35	3812289.44746675
perm41	3888137.96806753
perm37	3894056.85120355
perm22	3923610.46368938
perm7	3948391.82977961
perm6	3973939.08086971
perm8	4013223.81676024
perm26	4048196.81186078
perm31	4059591.86748096
perm5	4165633.4038117
perm12	4184983.88623919
perm23	4232301.3034546
perm9	4299546.16307442
perm11	4301944.58068802
perm10	4419428.29282627
perm30	4459621.62181403
perm21	4668678.08231015
perm29	5052625.33202517
perm46	8180370.11767181
perm27	13229123.2685346
perm20	14577133.9297108
perm4	15525446.3623858
perm16	26609082.7597707
perm1	28023841.1698029
perm33	30569244.6047208
perm40	33229345.4364175
perm19	39997730.2180806
perm45	42014449.1415675
perm3	44070513.0096987
perm28	45353789.6570123
perm15	53560360.8867486
perm39	56914757.6586683
perm34	58310274.3749624
perm2	59217689.1214168
