Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm11	3578480.735404
perm45	3580949.94012832
perm34	3584142.68677009
perm49	3587794.89601968
perm19	3590987.91334909
perm10	3591057.27023064
perm22	3591128.01001458
perm7	3591173.61562765
perm26	3591263.13489083
perm21	3591268.65334343
perm25	3591268.65334343
perm20	3591270.07895209
perm50	3591270.20562436
perm36	3591317.14886792
perm18	3591329.72407694
perm27	3591528.67806174
perm35	3592416.41133542
perm13	3593796.55236066
perm4	3594120.73228617
perm28	3602165.10384649
perm33	3603968.35558187
perm8	3608794.8962041
perm12	3609378.94310617
perm24	3631722.83601838
perm38	3632256.25260296
perm15	3650193.51065082
perm9	3658063.42252056
perm3	3677960.40306422
perm16	3707374.19110636
perm31	3728199.49300923
perm42	3736473.41630384
perm23	3741180.73756878
perm37	3744414.62161207
perm32	3759543.50625329
perm43	3802779.04593077
perm6	3827615.99015173
perm30	3865461.96527561
perm41	3908189.0382344
perm2	3911786.17353415
perm17	3944180.59756847
perm44	3949557.64175933
perm14	3959827.24386867
perm40	4031523.10248944
perm46	4194917.06200998
perm1	4242944.53877618
perm5	4319403.83943331
perm48	4332840.98955054
perm39	4447518.68630479
perm47	4463832.24076576
perm29	4656028.34775779
