Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm40	3661759.98679662
perm50	3669244.88608181
perm23	3669796.20062833
perm31	3670270.60648817
perm22	3670554.43273038
perm34	3670567.3886657
perm37	3670611.39717136
perm1	3671315.35394091
perm15	3671334.5206837
perm14	3671343.35099401
perm6	3671456.58361062
perm2	3671491.18949013
perm18	3671528.44473406
perm39	3672805.54666301
perm12	3672816.21479688
perm45	3672844.91057187
perm19	3672845.41523154
perm46	3672881.25560219
perm25	3672909.40643868
perm29	3672928.7183996
perm7	3672987.03390074
perm35	3673204.11314468
perm48	3673317.95534975
perm5	3674435.97712022
perm38	3674460.32367864
perm36	3675808.47273714
perm49	3677081.32735432
perm8	3677497.61105903
perm24	3680230.81432951
perm27	3680268.39173305
perm4	3685950.42242023
perm3	3687687.2956007
perm33	3694905.32984312
perm41	3701251.8608414
perm30	3725142.15753018
perm9	3743591.95990884
perm26	3786833.0035698
perm16	3788207.57556123
perm10	3807032.51430471
perm11	3837877.28042404
perm42	3872087.61289993
perm17	3905896.35137493
perm47	3910860.73234877
perm20	3976471.50097806
perm43	3980629.0962018
perm44	4140955.5428806
perm13	4563792.50623997
perm21	4651222.49739076
perm28	4714155.61011648
perm32	5326127.85516803
