Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm45	3573803.3757377
perm35	3574480.76597205
perm41	3574630.86215246
perm42	3578480.73539423
perm14	3578562.47622026
perm36	3578597.84810754
perm12	3581447.22297834
perm29	3584138.3278516
perm6	3591172.49468455
perm37	3591222.02612358
perm28	3591247.60495306
perm30	3591265.31701264
perm2	3591269.74802249
perm46	3591297.22887389
perm1	3591329.14474217
perm38	3591366.11136323
perm8	3594683.84788691
perm26	3597886.52902125
perm5	3607554.85305573
perm22	3626024.33097689
perm11	3634808.36170835
perm48	3635982.95680957
perm16	3640433.70235934
perm31	3642192.4699106
perm7	3642342.92856799
perm47	3649060.49260947
perm32	3661885.92523839
perm50	3690115.128189
perm25	3703364.42046967
perm17	3731854.5126426
perm44	3785690.8341218
perm9	3790310.10098048
perm43	3802950.25305783
perm20	3873778.81110952
perm23	3874260.30284748
perm40	3997236.96558257
perm4	4072450.00654868
perm34	4245462.38752778
perm33	4249881.19228509
perm39	4283309.10324646
perm19	4430753.19821965
perm27	4488214.82017446
perm3	4512625.03676832
perm10	4545647.01741746
perm49	4574901.09835257
perm24	4663683.18750132
perm13	4941588.82892932
perm21	5046700.13481637
perm15	5848628.42934354
perm18	6074273.40419053
