Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm50	3590983.81460464
perm9	3591091.26260569
perm37	3591270.20562436
perm7	3591318.23807411
perm40	3593886.64829981
perm33	3596489.73729303
perm43	3596512.89894278
perm38	3596521.75558031
perm27	3596555.67726511
perm6	3596598.42391873
perm35	3596661.5736937
perm12	3598108.81015881
perm36	3599953.22561403
perm32	3600098.74954748
perm34	3601593.48052344
perm23	3603019.50201489
perm18	3603522.04606909
perm2	3603538.15314691
perm14	3603893.52398342
perm48	3603970.84212517
perm5	3608494.77358781
perm44	3609754.44962987
perm3	3614070.30355914
perm42	3615317.72223511
perm22	3620154.3065923
perm13	3620762.19824741
perm25	3631722.82989041
perm47	3637903.12212472
perm28	3663853.26370855
perm11	3690765.68475792
perm21	3694368.12492796
perm26	3709845.57686404
perm45	3714012.54373996
perm10	3717528.57564475
perm8	3727780.96447612
perm29	3753785.68082402
perm46	3769578.67157598
perm24	3786422.65537433
perm39	3795830.25184824
perm31	3804193.95658411
perm20	3809820.93470147
perm1	3820826.65267097
perm49	3868190.21759787
perm4	4176307.43212875
perm16	4191219.80370961
perm19	4269564.92828461
perm17	4491926.9880389
perm41	4568864.56772834
perm30	4612933.6763384
perm15	4702926.4730931
