Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm13	3616302.68955833
perm34	3642074.45463941
perm28	3642082.06806129
perm33	3642104.99492025
perm3	3642120.33084122
perm41	3642124.36706843
perm15	3642132.17145811
perm17	3642188.06329115
perm16	3642214.50163562
perm7	3642272.75656748
perm1	3642284.60991659
perm27	3642288.04483911
perm38	3642306.54016546
perm50	3642314.43869995
perm5	3642315.51443614
perm11	3642330.26019352
perm23	3642358.83887419
perm18	3642366.91657055
perm42	3642381.63587937
perm36	3642402.47079337
perm2	3642668.05465829
perm9	3646533.11491826
perm4	3656606.72155784
perm48	3670677.33273984
perm10	3671421.22987938
perm45	3682788.63977809
perm6	3688395.76794687
perm32	3690969.44997453
perm31	3695014.76588771
perm30	3695664.69355254
perm21	3698035.07515618
perm26	3698693.34342939
perm47	3698828.77951325
perm12	3721191.50561435
perm37	3730568.71892038
perm14	3740652.86597746
perm22	3757933.48173457
perm24	3839697.5925391
perm39	3914306.92627657
perm40	3939407.69895141
perm49	4105201.70427058
perm46	4169014.37978037
perm43	4169763.54850074
perm29	4220902.64217126
perm44	4357448.42969837
perm20	4370476.94595711
perm8	4393964.89007974
perm35	4660883.28891078
perm19	5180838.94570743
perm25	6113459.88302162
