Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm4	4229193.00302572
perm20	5337879.22211245
perm21	8167554.85001318
perm29	9134535.07506782
perm6	9729360.76865999
perm27	9919781.02522029
perm10	10288279.7829407
perm23	10871412.7803041
perm31	10979649.421766
perm15	11627179.4890619
perm42	11839471.3756045
perm17	12717901.8066894
perm25	12725756.9987864
perm7	12728532.9456878
perm39	12907830.4050052
perm30	13172207.273879
perm40	13533748.8010686
perm16	14500205.1485613
perm12	14699140.150845
perm5	14767186.9802214
perm9	15106272.4969635
perm24	15287347.0341282
perm45	15587024.0168804
perm33	15619895.5005254
perm34	15650863.5384379
perm1	15857903.4140517
perm41	16068488.1948689
perm22	16170407.0066645
perm2	16312484.5387439
perm11	16668046.7766307
perm8	17270239.7660484
perm46	17343853.8660647
perm32	17566315.5597853
perm18	20478473.3887891
perm26	21505677.6343901
perm3	22566509.4918945
perm28	22631585.1507255
perm43	44971791.9449877
perm44	55480124.5521678
perm48	103733365.214222
perm19	182622310.174523
perm47	212078788.703044
perm14	264443369.627121
perm38	284298058.843375
perm50	288481869.017714
perm36	288734928.091836
perm13	342852650.065541
perm37	366636568.076188
perm49	367227406.817342
perm35	367230351.39632
