Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm9	3573860.41946437
perm43	3574443.01671023
perm12	3574630.85615657
perm5	3582724.13973107
perm16	3583740.57435161
perm32	3584002.89474134
perm21	3587953.87818191
perm44	3588023.8692052
perm37	3591059.05585713
perm36	3591130.36599413
perm34	3591293.06756826
perm31	3591365.96644814
perm39	3591377.13842926
perm33	3591385.55729728
perm40	3591467.83830877
perm23	3592414.24351216
perm35	3592451.30236613
perm22	3592515.76608691
perm10	3595558.61490888
perm6	3601490.13169743
perm46	3614570.92484621
perm4	3621709.85425327
perm45	3641455.41403289
perm20	3661008.29651885
perm29	3661620.78193885
perm1	3666327.82826732
perm49	3672201.22662506
perm14	3673050.34242697
perm7	3673136.47058865
perm2	3673147.02254337
perm47	3690999.56822107
perm30	3711155.71954855
perm38	3715238.97326292
perm19	3745949.63454866
perm26	3755556.58506263
perm13	3757351.11527171
perm50	3757412.55273984
perm27	3773847.26864073
perm41	3866566.91557095
perm25	3877776.51235962
perm11	3906965.67009876
perm42	3950133.04045761
perm18	3982820.64866806
perm48	4050813.3632768
perm24	4146501.81901719
perm3	4165730.1840973
perm17	4211066.5245003
perm8	4659309.56757656
perm28	4915110.90456656
perm15	5125699.60176391
