Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm47	4175129.44443765
perm12	4181230.23624595
perm32	4198324.23057609
perm28	4472429.582838
perm46	4525075.68960258
perm10	5328028.71980949
perm23	5384678.34212222
perm7	6944281.45218644
perm35	7017598.65914661
perm31	7554193.05248665
perm13	7679078.9613811
perm26	7713630.31288469
perm2	8064177.91904656
perm25	8875660.74307921
perm14	9488727.66486801
perm27	9920126.86555745
perm30	10114325.0025839
perm24	10323431.0614629
perm1	10466423.2485271
perm29	10956727.3367635
perm48	11461586.0619256
perm33	11624616.4364113
perm16	11839471.6356461
perm36	12009949.6519472
perm39	12059291.3393244
perm34	12367216.115204
perm18	12544772.6963452
perm50	12721822.1378142
perm38	12739278.9162402
perm49	13126770.239783
perm8	13169661.9265825
perm40	13768352.2959963
perm44	13865649.4266761
perm37	14724643.0993011
perm17	16106816.7633442
perm45	16328264.4312071
perm11	16440426.9122234
perm9	17228853.5039331
perm15	19739798.9395884
perm4	30165314.8757722
perm3	37406254.7166257
perm19	42758369.9089498
perm43	82476105.2180618
perm20	202255695.443157
perm22	206010926.747204
perm42	279084522.372312
perm6	288414908.711028
perm21	302882327.567617
perm41	366834892.559506
perm5	367173782.396394
