Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm16	3670606.90894895
perm3	3671320.58195629
perm13	3671343.1379545
perm50	3671531.55113283
perm17	3672816.2146923
perm14	3672888.06930075
perm18	3672888.10316492
perm19	3672921.12212427
perm12	3673198.9272702
perm20	3675739.73951954
perm10	3676268.88718346
perm31	3685396.94269506
perm9	3686988.54650937
perm1	3687079.76548936
perm37	3687351.23861495
perm22	3687533.00334983
perm11	3687666.23099618
perm38	3690639.63055287
perm25	3696120.85968989
perm29	3707636.74231913
perm6	3710187.1168493
perm45	3714843.05059337
perm48	3715536.09960943
perm26	3721032.2160707
perm32	3738854.21054748
perm42	3739485.66479352
perm34	3740384.04210093
perm43	3748173.09913425
perm47	3751433.96330727
perm44	3754465.76378012
perm4	3766656.56736234
perm46	3768548.77091758
perm33	3769112.73001764
perm27	3778900.05970048
perm15	3781542.04695826
perm40	3813635.13180286
perm24	3835877.54962404
perm5	3847463.23872022
perm41	3903603.24000241
perm49	3951685.79462249
perm8	3963477.28243562
perm36	3990711.29992283
perm2	4017411.47444197
perm30	4077989.29848396
perm23	4247345.89620791
perm21	4474309.55732069
perm35	4532263.18781353
perm39	4580238.44336998
perm7	4668875.19637398
perm28	4815275.74113646
