Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm49	3578502.78703141
perm29	3590902.28109287
perm44	3591268.65334343
perm17	3591291.39050669
perm30	3591350.05796014
perm12	3593061.89281763
perm16	3594136.98138378
perm20	3594297.20587303
perm22	3594331.22740188
perm39	3596433.43348772
perm13	3596462.40598159
perm19	3596628.19383756
perm10	3596743.14764893
perm5	3596895.33088713
perm8	3597257.41536627
perm32	3597654.74969885
perm36	3597865.5699447
perm11	3603538.65114243
perm35	3603973.1089504
perm15	3609955.93301937
perm33	3614159.45358445
perm40	3623279.64287837
perm27	3624177.1208932
perm31	3630478.60437208
perm26	3660214.85465177
perm48	3661413.51890492
perm43	3662545.92452015
perm25	3663229.88849444
perm14	3667589.01371641
perm23	3698570.91376328
perm6	3732104.58512289
perm38	3735147.66088496
perm41	3757505.46420239
perm4	3768200.68966199
perm42	3773618.5182059
perm37	3784100.34147997
perm47	3800585.72492058
perm21	3813573.21137169
perm7	3825043.54472205
perm3	3845075.64618283
perm9	3868473.59186877
perm46	3892129.44975695
perm34	3903532.06660266
perm1	3905879.10957355
perm24	3908120.5510589
perm18	3917774.20632158
perm28	4019319.21439925
perm50	4227147.8421104
perm2	4264099.02649948
perm45	4746515.53511688
