Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm17	3611515.93602828
perm5	3616356.10958007
perm14	3616388.66772503
perm8	3616433.8703392
perm26	3616461.24369382
perm37	3616503.25851385
perm22	3616546.94323961
perm38	3616571.2508193
perm31	3616627.05056734
perm25	3616645.52333121
perm41	3626714.44524749
perm6	3628181.09663861
perm9	3629810.2863968
perm15	3629838.27600971
perm24	3629933.30332705
perm35	3630152.50263476
perm46	3636463.51588245
perm33	3636689.72320323
perm20	3636943.05163359
perm32	3658505.25717655
perm42	3664032.2769154
perm40	3668833.63133829
perm47	3679969.55570348
perm50	3680192.5268408
perm19	3689555.95875299
perm36	3692512.55015276
perm39	3708221.39815339
perm34	3708415.92212738
perm45	3709967.09463316
perm11	3715150.79115511
perm49	3724589.22570252
perm29	3727352.46768809
perm12	3728594.23349506
perm43	3729567.88782506
perm44	3765765.63311365
perm48	3776840.54351038
perm13	3780760.15576711
perm7	3784140.78772127
perm18	3807338.2512168
perm10	3825970.48044991
perm3	3837449.77689433
perm27	3839427.46168254
perm30	3840226.26574419
perm4	3878001.72679646
perm28	3878158.74282095
perm23	4225217.12357249
perm21	4322240.70064818
perm16	4398104.56870304
perm1	5530792.84428905
perm2	6794842.95731825
