Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm30	3571624.0257671
perm24	3572019.65160406
perm49	3573156.07133598
perm38	3573784.01251534
perm14	3573894.64716887
perm45	3573966.38989537
perm8	3574261.69261159
perm23	3574271.66176077
perm37	3574364.24641295
perm50	3574402.93814044
perm43	3574519.37039108
perm35	3574527.42311567
perm19	3574529.98323057
perm20	3574644.80890327
perm17	3574683.16132319
perm27	3574903.87280681
perm21	3577437.52782068
perm39	3578282.32868541
perm26	3578317.91002065
perm10	3578326.8348576
perm28	3578537.17675681
perm41	3582261.326182
perm7	3584058.6345806
perm25	3597184.24353586
perm44	3602742.1152742
perm31	3605990.72695834
perm1	3641983.03571295
perm34	3659602.76851669
perm15	3675251.46853891
perm9	3686769.48634543
perm4	3711093.07840627
perm40	3719992.08492285
perm48	3727509.4917022
perm11	3731892.30839615
perm33	3772597.46577349
perm42	3775791.45644947
perm12	3787837.70361973
perm47	3801369.9050705
perm32	3805372.76435034
perm16	3888877.34115174
perm22	3901188.55135584
perm18	3927057.82694482
perm5	3950651.84368568
perm29	4142788.00014954
perm36	4299815.41070378
perm13	4558148.5632207
perm6	4579465.19440739
perm3	4802931.79031493
perm46	4917475.83762377
perm2	4970329.22638566
