Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm42	3704347.33518505
perm1	3704651.70226592
perm48	3705866.93212293
perm47	3742353.06975867
perm36	3781513.5544926
perm41	3793067.36163868
perm2	3834278.58438675
perm8	4171340.71978363
perm32	4175071.32828372
perm29	4177067.65619354
perm3	4177737.44185768
perm28	4178313.60770573
perm18	4179050.99940457
perm49	4182066.22475287
perm12	4188672.82507744
perm34	4193913.63676891
perm4	4213723.30893525
perm27	4213854.91113087
perm44	4218360.20737954
perm5	4237358.65538127
perm9	4248311.1018581
perm21	4253555.55723889
perm17	4256119.55266977
perm33	4257288.80326681
perm7	4275668.872262
perm10	4276078.62879113
perm43	4278572.09233411
perm19	4302752.76865738
perm50	4364387.90136806
perm31	4408204.97619884
perm6	4425762.02550591
perm35	4453897.12311467
perm22	4522696.29011269
perm11	4596732.7341441
perm46	4658162.69186504
perm20	4721814.25445416
perm30	4790705.46183298
perm24	5775176.91723575
perm45	6293942.04669251
perm23	9105034.52425748
perm25	11245809.0873938
perm15	12851060.1143978
perm13	14024650.5760018
perm38	30809460.2914646
perm40	32808991.8930752
perm14	42224807.9612476
perm16	47558660.5721768
perm26	51967543.1500825
perm39	53148416.7514082
perm37	63958022.0200261
