Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm8	3696051.84209657
perm34	3699531.68003219
perm46	3704261.0164706
perm2	3704347.33518505
perm39	3704609.93722596
perm13	3704612.41918543
perm6	3704625.59355647
perm42	3704650.82271404
perm1	3704651.70226592
perm11	3704651.70226592
perm20	3704651.92283012
perm24	3704656.34025633
perm30	3706184.4297708
perm3	3707689.98604014
perm5	3708227.17339273
perm9	3708914.21875649
perm50	3709063.76460744
perm17	3710038.98718398
perm4	3710597.63599155
perm18	3710743.25210103
perm16	3712654.48651088
perm23	3714462.94617005
perm25	3720504.48810103
perm29	3723984.35024318
perm49	3724554.3726567
perm43	3725589.66670062
perm31	3728585.13541765
perm45	3729012.270959
perm19	3732728.83902232
perm40	3742217.60322472
perm48	3750431.45662372
perm38	3754814.92825003
perm37	3761343.78366493
perm15	3771368.12919655
perm35	3785314.6082763
perm10	3785550.10195978
perm41	3796690.3728992
perm7	3814850.47469738
perm27	3844807.4683716
perm12	3876008.63668166
perm36	3907955.41712973
perm14	3964259.73685665
perm44	4020989.07103334
perm28	4162679.09947124
perm32	4234522.43634327
perm22	4304592.44513554
perm33	4324604.77281162
perm47	4367998.01752773
perm21	4412420.0054073
perm26	4792472.81764984
