Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm16	3591130.36599413
perm27	3591130.36599413
perm48	3591268.65334343
perm5	3591351.83064699
perm12	3594147.4946586
perm33	3594329.95142625
perm50	3595622.99858321
perm11	3595753.93862566
perm20	3596426.25459231
perm7	3596475.41681751
perm36	3596484.20832494
perm10	3596511.3189817
perm35	3596604.19432793
perm47	3596627.40110117
perm44	3596636.79171901
perm8	3596661.57376862
perm39	3597121.13720612
perm26	3597209.78760231
perm19	3597365.38709113
perm41	3598985.93969595
perm25	3600226.68798512
perm28	3603137.04317537
perm46	3603853.58784119
perm4	3610792.10268195
perm6	3610920.82484202
perm9	3614712.81465416
perm34	3626798.68063963
perm14	3631841.9810543
perm38	3638352.35115851
perm13	3650894.35009392
perm37	3660152.60671122
perm21	3664462.79279482
perm45	3677148.28562699
perm30	3678339.52871553
perm22	3696189.59267025
perm42	3698907.4484956
perm15	3716250.5330589
perm3	3768943.64813554
perm31	3809174.35767484
perm40	3810446.1522896
perm17	3823158.40518434
perm2	3829597.49981971
perm32	3830571.54417455
perm1	3908266.44785149
perm43	4070321.75873682
perm49	4104434.1451944
perm24	4230727.3929308
perm29	4302028.87243647
perm23	4311530.86589489
perm18	4848861.57401208
