Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen40perm16 1895.0278008499333282 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm27 1895.0278008499333282 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm48 1895.0642873906490422 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm5 1895.0862330371642201 2.23536713e+00 1.04802163e+00 3.35448981e-03 3.79382388e-03 2.59451174e+00 1.06201730e-02
gen40perm12 1895.8236982004934816 2.12636053e+00 8.71810505e-01 3.19775504e-03 3.69085299e-03 2.67763634e+00 1.04502189e-02
gen40perm33 1895.8718183005548781 2.27423150e+00 9.03852587e-01 3.35448981e-03 3.77321040e-03 2.46824136e+00 1.05097495e-02
gen40perm50 1896.2128041396640583 2.11389377e+00 1.04802163e+00 3.35448981e-03 3.91672425e-03 2.88499212e+00 1.07482614e-02
gen40perm11 1896.2473305520195481 2.30095216e+00 1.04802163e+00 3.37691334e-03 3.92714851e-03 2.88499212e+00 1.05097495e-02
gen40perm20 1896.4245976553634137 2.30095216e+00 8.71810505e-01 3.35448981e-03 3.63488132e-03 3.12690427e+00 1.04187332e-02
gen40perm7 1896.4375594301827732 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.77972124e+00 1.04187332e-02
gen40perm36 1896.4398773293453360 2.30095216e+00 9.35540619e-01 3.35448981e-03 3.99545462e-03 2.88499212e+00 1.04187332e-02
gen40perm10 1896.4470250923693584 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.04187332e-02
gen40perm35 1896.4715116046243111 2.30095216e+00 9.47019741e-01 3.35448981e-03 3.78669039e-03 2.39159118e+00 1.04187332e-02
gen40perm47 1896.4776300028338483 2.30095216e+00 8.80782073e-01 3.35448981e-03 3.83106046e-03 2.23634270e+00 1.04187332e-02
gen40perm44 1896.4801058062830634 2.30095216e+00 8.24902593e-01 3.35448981e-03 3.77321040e-03 2.15464497e+00 1.04187332e-02
gen40perm8 1896.4866394911982752 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.15464497e+00 1.04187332e-02
gen40perm39 1896.6077974125598757 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.15464497e+00 1.04502189e-02
gen40perm26 1896.6311680456769864 2.30095216e+00 8.71810505e-01 3.35448981e-03 3.89685408e-03 2.43556623e+00 1.04502189e-02
gen40perm19 1896.6721875672481019 2.30095216e+00 9.08787663e-01 3.35448981e-03 3.69085299e-03 2.88499212e+00 1.04502189e-02
gen40perm41 1897.0993489261300056 2.51335146e+00 8.75303991e-01 3.55278740e-03 3.50062189e-03 2.47623252e+00 1.04187332e-02
gen40perm25 1897.4263326899201729 2.32014279e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.88499212e+00 1.04187332e-02
gen40perm28 1898.1930995489808538 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.32109323e+00 1.05097495e-02
gen40perm46 1898.3818340474060733 2.30095216e+00 1.04802163e+00 3.35448981e-03 3.77321040e-03 2.78199970e+00 1.05097495e-02
gen40perm4 1900.2084366410831535 2.34642345e+00 9.60322878e-01 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.04187332e-02
gen40perm6 1900.2423068761570448 2.04695145e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.08659873e-02
gen40perm9 1901.2398098751671114 2.14777258e+00 1.13713800e+00 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.06078070e-02
gen40perm34 1904.4155745633970582 2.24896834e+00 8.75303991e-01 3.43426458e-03 3.61547527e-03 2.88499212e+00 1.05097495e-02
gen40perm14 1905.7392216812609149 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.03634508e-02
gen40perm38 1907.4465526348324147 2.30767318e+00 1.04802163e+00 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm13 1910.7313652352922873 2.32014279e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.43556623e+00 1.06201730e-02
gen40perm37 1913.1525309580574685 2.23536713e+00 8.91925442e-01 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.08659873e-02
gen40perm21 1914.2786612180627799 2.23536713e+00 7.89388314e-01 3.50856146e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen40perm45 1917.5891858338673046 2.23412495e+00 1.01542977e+00 3.42452851e-03 3.90336313e-03 2.88499212e+00 1.04187332e-02
gen40perm30 1917.8997702475312508 2.42385548e+00 9.47019741e-01 3.35448981e-03 3.77321040e-03 2.55265125e+00 1.04187332e-02
gen40perm22 1922.5476828079579263 2.12388684e+00 1.09522142e+00 3.28580098e-03 4.15851124e-03 2.32109323e+00 1.10712581e-02
gen40perm42 1923.2543899587483338 2.50459504e+00 8.23755676e-01 3.41459476e-03 3.89685408e-03 2.77503859e+00 1.04187332e-02
gen40perm15 1927.7579031244820271 2.06670172e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.32109323e+00 1.06201730e-02
gen40perm3 1941.3767403921224286 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.08659873e-02
gen40perm31 1951.7106234467341892 2.30095216e+00 1.04802163e+00 3.19775504e-03 3.69085299e-03 3.12690427e+00 1.05097495e-02
gen40perm40 1952.0364116198234115 2.30095216e+00 8.71810505e-01 3.57870881e-03 3.77321040e-03 2.88499212e+00 1.04187332e-02
gen40perm17 1955.2898519616817339 2.09131573e+00 1.04802163e+00 3.35448981e-03 4.02331051e-03 3.12690427e+00 1.04187332e-02
gen40perm2 1956.9357423839207968 2.09131573e+00 1.13851433e+00 3.35448981e-03 3.77321040e-03 2.39896355e+00 1.04187332e-02
gen40perm32 1957.1845963461259998 2.09131573e+00 9.08787663e-01 3.35448981e-03 4.30205938e-03 2.30272250e+00 1.04187332e-02
gen40perm1 1976.9335972286705783 2.30095216e+00 1.04802163e+00 3.19775504e-03 3.58387111e-03 2.54959726e+00 1.06201730e-02
gen40perm43 2017.5038435494536770 2.30095216e+00 8.75144982e-01 3.35448981e-03 3.92714851e-03 2.29874329e+00 1.11714169e-02
gen40perm49 2025.9403113602345456 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.61547527e-03 2.40262529e+00 9.84447662e-03
gen40perm24 2056.8732077915747141 2.10473976e+00 9.23406929e-01 3.51769890e-03 3.51488982e-03 2.65033140e+00 1.04187332e-02
gen40perm29 2074.1332822257286352 2.30095216e+00 8.21556107e-01 3.35448981e-03 3.99545462e-03 2.88499212e+00 1.13360156e-02
gen40perm23 2076.4226125466093436 2.23536713e+00 9.35540619e-01 3.35448981e-03 3.92714851e-03 2.39159118e+00 1.15243733e-02
gen40perm18 2202.0130730792861868 2.30095216e+00 9.08787663e-01 2.92281555e-03 3.69085299e-03 2.21834730e+00 1.05097495e-02
