Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen12perm23 1924.6565677162723205 2.95379282e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen12perm32 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen12perm15 1924.7408127186727143 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.40089657e+00 8.30906943e-03
gen12perm49 1924.8344459266340891 2.58400412e+00 9.02046723e-01 2.71042182e-03 8.18516926e-01 2.19959416e+00 8.30906943e-03
gen12perm20 1925.0780508250143157 2.79214813e+00 9.02046723e-01 2.85553014e-03 7.95962397e-01 2.44237298e+00 8.30906943e-03
gen12perm21 1925.6077168134440853 2.97190101e+00 9.49002774e-01 2.94620692e-03 9.64298013e-01 2.33575796e+00 8.37832750e-03
gen12perm16 1925.9770716073610402 2.79214813e+00 9.02046723e-01 2.94620692e-03 4.05209018e-03 3.86439468e+00 8.44960622e-03
gen12perm31 1926.0954063748156386 3.01192041e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.33575796e+00 8.30906943e-03
gen12perm24 1926.5876632832814721 2.97190101e+00 9.02046723e-01 2.91190011e-03 8.18516926e-01 2.44237298e+00 8.30906943e-03
gen12perm35 1935.1513716498150188 2.79214813e+00 9.02046723e-01 2.91190011e-03 8.18117971e-01 3.86439468e+00 8.30906943e-03
gen12perm18 1935.5083546414816738 2.86720590e+00 9.02046723e-01 3.13616751e-03 7.95561011e-01 3.69719420e+00 9.10648233e-03
gen12perm48 1935.9379575962864237 2.79214813e+00 9.79929971e-02 2.91190011e-03 8.57166034e-01 2.44237298e+00 8.30906943e-03
gen12perm19 1936.4132577385794320 2.88534374e+00 9.36218439e-02 2.91190011e-03 8.18516926e-01 2.33575796e+00 8.56684387e-03
gen12perm7 1944.5991382513113876 2.79214813e+00 9.61476722e-02 2.71042182e-03 8.04188855e-01 2.24441403e+00 8.30906943e-03
gen12perm38 1944.6268261235250066 2.79214813e+00 8.49115818e-01 2.71042182e-03 4.05209018e-03 2.20564568e+00 8.30906943e-03
gen12perm6 1944.7109906683642748 2.79214813e+00 9.79929971e-02 2.71042182e-03 4.05209018e-03 2.33575796e+00 8.30906943e-03
