Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen38perm50 1894.9891331099079252 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.06201730e-02
gen38perm9 1895.0174834564679713 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.94423562e-03 2.59451174e+00 1.06201730e-02
gen38perm37 1895.0646969495162466 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.06201730e-02
gen38perm7 1895.0773699440642304 2.23536713e+00 9.23406929e-01 3.35448981e-03 3.92714851e-03 2.65033140e+00 1.06201730e-02
gen38perm40 1895.7549019585342194 2.12636053e+00 1.04802163e+00 3.19775504e-03 3.69085299e-03 2.88499212e+00 1.05097495e-02
gen38perm33 1896.4413350517947947 2.30095216e+00 9.47019741e-01 3.35448981e-03 3.99545462e-03 2.88499212e+00 1.04187332e-02
gen38perm43 1896.4474416505129284 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.69085299e-03 2.60272521e+00 1.04187332e-02
gen38perm38 1896.4497767091829701 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.55265125e+00 1.04187332e-02
gen38perm27 1896.4587201584731702 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.43556623e+00 1.04187332e-02
gen38perm6 1896.4699902499710333 2.30095216e+00 9.35540619e-01 3.35448981e-03 3.78669039e-03 2.39159118e+00 1.04187332e-02
gen38perm35 1896.4866394714467788 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.15464497e+00 1.04187332e-02
gen38perm12 1896.8681583491268157 2.50459504e+00 8.94222744e-01 3.55278740e-03 3.89685408e-03 2.43556623e+00 1.04187332e-02
gen38perm36 1897.3542699280037596 2.32014279e+00 7.97447820e-01 3.35448981e-03 3.92714851e-03 2.43556623e+00 1.04187332e-02
gen38perm32 1897.3926187132392442 2.32014279e+00 9.15945052e-01 3.35448981e-03 3.89685408e-03 2.59451174e+00 1.04187332e-02
gen38perm34 1897.7864686321911449 2.32014279e+00 8.75303991e-01 3.41459476e-03 3.87123904e-03 2.47623252e+00 1.04187332e-02
gen38perm23 1898.1621379679047550 2.27583271e+00 9.47019741e-01 3.42452851e-03 3.69085299e-03 2.88499212e+00 1.05097495e-02
gen38perm18 1898.2945098348372994 2.30095216e+00 8.42247201e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.05097495e-02
gen38perm2 1898.2987523429776502 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.05097495e-02
gen38perm14 1898.3923524876040574 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.88499212e+00 1.05097495e-02
gen38perm48 1898.4127164884787362 2.30095216e+00 1.04802163e+00 3.35448981e-03 3.95223532e-03 2.88499212e+00 1.05097495e-02
gen38perm5 1899.6038464868947813 2.30095216e+00 9.47019741e-01 3.41459476e-03 3.69085299e-03 2.88499212e+00 1.04187332e-02
gen38perm44 1899.9353803826770672 2.30095216e+00 9.47019741e-01 3.41459476e-03 3.92714851e-03 2.39159118e+00 1.04187332e-02
gen38perm3 1901.0708307580594010 2.32014279e+00 8.75303991e-01 3.35448981e-03 3.90336313e-03 2.40722798e+00 1.05097495e-02
gen38perm42 1901.3988856195101107 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.74559476e-03 2.39159118e+00 1.04187332e-02
gen38perm22 1902.6703094840945596 2.35422673e+00 9.53192245e-01 3.34769318e-03 3.77245302e-03 2.88499212e+00 1.04187332e-02
gen38perm13 1902.8300497541563345 2.30095216e+00 8.70136121e-01 3.43426458e-03 3.61547527e-03 2.59451174e+00 1.04187332e-02
gen38perm25 1905.7079602841579344 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen38perm47 1907.3287923493210201 2.13538283e+00 8.75303991e-01 3.34769318e-03 3.77321040e-03 2.59451174e+00 1.05638749e-02
gen38perm28 1914.1194486521869749 2.32014279e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.01119629e-02
gen38perm11 1921.1365606738936549 2.32014279e+00 8.02010568e-01 3.42350552e-03 3.61547527e-03 2.88499212e+00 1.02050381e-02
gen38perm21 1922.0739124518499921 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.90336313e-03 2.88499212e+00 1.09330895e-02
gen38perm26 1926.0959417599219705 2.22767254e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.02336729e-02
gen38perm45 1927.1773513976224876 2.12589964e+00 8.75303991e-01 3.42452851e-03 3.61547527e-03 2.88499212e+00 1.06201730e-02
gen38perm10 1928.0893588329233808 2.41344221e+00 8.75303991e-01 3.35448981e-03 3.61547527e-03 2.96656996e+00 1.05097495e-02
gen38perm8 1930.7462195938946934 2.13932295e+00 8.75303991e-01 3.35448981e-03 3.60212422e-03 2.39159118e+00 1.04187332e-02
gen38perm29 1937.4688851240991880 2.47791451e+00 8.75303991e-01 3.35448981e-03 3.90336313e-03 2.39159118e+00 1.04187332e-02
gen38perm46 1941.5402832740762733 2.23536713e+00 1.04802163e+00 3.08980479e-03 3.92714851e-03 2.59451174e+00 9.57069055e-03
gen38perm24 1945.8732372316364945 2.32014279e+00 1.09164740e+00 3.58594672e-03 3.90336313e-03 2.88499212e+00 1.04187332e-02
gen38perm39 1948.2890575703179366 2.32014279e+00 7.79809049e-01 3.42452851e-03 3.91026895e-03 2.75723510e+00 1.00671776e-02
gen38perm31 1950.4342994789917611 2.23536713e+00 1.01542977e+00 3.12136841e-03 3.92714851e-03 2.63274901e+00 9.59746084e-03
gen38perm20 1951.8762600896266122 2.15137628e+00 1.05585442e+00 3.45778047e-03 3.53533448e-03 3.02482876e+00 1.05097495e-02
gen38perm1 1954.6934932799501894 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.61547527e-03 2.88499212e+00 1.00802658e-02
gen38perm49 1966.7715214528266188 2.11491016e+00 8.75303991e-01 3.41519228e-03 4.00356469e-03 2.59451174e+00 1.04512489e-02
gen38perm4 2043.6015835110208627 2.23536713e+00 1.02711692e+00 3.42452851e-03 3.92714851e-03 2.88499212e+00 9.93660156e-03
gen38perm16 2047.2468839174268851 2.38663197e+00 1.04802163e+00 3.14687976e-03 3.90336313e-03 2.88499212e+00 1.05097495e-02
gen38perm19 2066.2925563154435622 2.30095216e+00 1.04802163e+00 3.42452851e-03 3.90336313e-03 2.88499212e+00 9.73348539e-03
gen38perm17 2119.4166622065845331 2.23536713e+00 1.04802163e+00 3.34769318e-03 3.90336313e-03 2.88499212e+00 9.59261078e-03
