Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen23perm25 1913.5481954294536990 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen23perm18 1913.5648224958308674 2.59804432e+00 8.46848449e-01 2.99922763e-03 3.92714851e-03 2.69398732e+00 9.00787887e-03
gen23perm37 1915.5273128362025545 2.58440573e+00 1.00238032e+00 2.91190011e-03 8.79394364e-01 2.59603119e+00 8.83344136e-03
gen23perm17 1915.5315802135241938 2.58440573e+00 9.02046723e-01 2.91190011e-03 8.03143096e-01 2.43009225e+00 8.83344136e-03
gen23perm12 1915.6587874532140177 2.61711553e+00 9.15453208e-01 2.94165212e-03 3.84480315e-03 3.59046335e+00 8.83344136e-03
gen23perm13 1915.6688170645350056 2.59804432e+00 1.03916256e+00 2.92475828e-03 3.82758169e-03 2.26233196e+00 8.83344136e-03
gen23perm48 1915.6841064198506501 2.61711553e+00 9.02046723e-01 2.94620692e-03 4.05209018e-03 3.59046335e+00 8.83344136e-03
gen23perm26 1915.7365197134372465 2.61711553e+00 9.02046723e-01 2.94620692e-03 9.52532280e-01 2.90971326e+00 8.83344136e-03
gen23perm10 1915.8015204564662781 2.61711553e+00 1.09600431e+00 2.94620692e-03 8.12307453e-01 2.60462606e+00 8.83344136e-03
gen23perm29 1915.8063166722963615 2.61711553e+00 1.00238032e+00 2.94620692e-03 8.40282004e-01 2.51432455e+00 8.83344136e-03
gen23perm31 1915.8481240301600792 2.61711553e+00 9.47012797e-01 2.94620692e-03 3.72257106e-03 2.34454351e+00 8.83344136e-03
gen23perm21 1915.9084563071662615 2.61213474e+00 1.09796535e+00 2.92497208e-03 4.05209018e-03 2.65956327e+00 8.83344136e-03
gen23perm49 1916.0596982488264075 2.61711553e+00 9.02046723e-01 2.92475828e-03 8.51679792e-01 2.25428145e+00 8.83344136e-03
gen23perm50 1916.0708018652583178 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen23perm8 1916.0708923980832878 2.61711553e+00 9.02046723e-01 2.92475828e-03 8.79394364e-01 2.51432455e+00 8.83344136e-03
gen23perm47 1916.0821229675495943 2.61711553e+00 1.00238032e+00 2.92475828e-03 8.97688660e-01 2.51432455e+00 8.83344136e-03
gen23perm7 1916.0832827199558324 2.61711553e+00 1.00238032e+00 2.92475828e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen23perm14 1916.1146791483836296 2.61711553e+00 9.11835001e-01 2.92475828e-03 9.54071549e-01 3.59046335e+00 8.83344136e-03
gen23perm23 1916.1163905354690087 2.61850097e+00 9.02046723e-01 2.92475828e-03 8.01867307e-01 2.22539240e+00 8.83344136e-03
gen23perm4 1916.2509854793761406 2.61711553e+00 1.01123228e+00 2.96164491e-03 8.79394364e-01 3.61776031e+00 8.83344136e-03
gen23perm2 1916.3124219800199626 2.59804432e+00 1.00238032e+00 2.94620692e-03 8.03143096e-01 2.65956327e+00 8.83344136e-03
gen23perm15 1916.9502548117729930 2.61711553e+00 1.00238032e+00 2.91190011e-03 6.91123004e-01 2.54105909e+00 8.83344136e-03
gen23perm33 1917.3775773464099075 2.61711553e+00 9.60018103e-01 2.97540976e-03 9.25513447e-01 3.59046335e+00 8.83344136e-03
gen23perm35 1918.9119087616520574 2.59804432e+00 9.78409808e-01 2.94620692e-03 8.03143096e-01 2.65956327e+00 9.00787887e-03
gen23perm36 1920.7090966594153087 2.61711553e+00 1.04566588e+00 2.99922763e-03 3.86125410e-03 3.61834349e+00 8.83344136e-03
gen23perm30 1921.4209107576493807 2.43039718e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 3.59046335e+00 8.97211109e-03
gen23perm41 1921.8656310215869780 2.61711553e+00 1.01669128e+00 2.94620692e-03 3.72257106e-03 2.22539240e+00 9.00787887e-03
gen23perm6 1922.1150498218116809 2.61711553e+00 8.96487013e-01 2.94620692e-03 8.03143096e-01 2.59929062e+00 9.00787887e-03
gen23perm46 1923.3733640721250140 2.85829440e+00 1.00238032e+00 3.05677757e-03 8.40282004e-01 2.43009225e+00 8.83344136e-03
gen23perm16 1924.7303194660651116 2.58440573e+00 1.00238032e+00 2.92475828e-03 8.79394364e-01 2.34890736e+00 8.70827982e-03
gen23perm28 1926.7625088688951109 2.58440573e+00 1.00238032e+00 2.99922763e-03 8.79394364e-01 2.59603119e+00 8.83344136e-03
gen23perm43 1929.5773141322622450 2.59804432e+00 1.08258002e+00 3.01891458e-03 8.79394364e-01 2.26233196e+00 8.83344136e-03
gen23perm45 1930.0091603125217716 2.58440573e+00 9.02046723e-01 2.81902442e-03 3.71009571e-03 2.51432455e+00 8.83344136e-03
gen23perm39 1943.7508018273651942 2.61711553e+00 1.00238032e+00 3.07505817e-03 3.80387235e-03 2.22539240e+00 8.83344136e-03
gen23perm19 1946.1179148362791693 2.61711553e+00 9.02046723e-01 2.94620692e-03 8.51679792e-01 2.22539240e+00 8.56785840e-03
gen23perm32 1954.9422983603853936 2.78661605e+00 1.01690075e+00 2.91190011e-03 8.79394364e-01 2.64843147e+00 8.83344136e-03
gen23perm11 1955.7454840180057545 2.59804432e+00 9.02046723e-01 2.94620692e-03 8.03143096e-01 2.69398732e+00 8.55040928e-03
gen23perm38 1959.3282419798401861 2.58440573e+00 1.00238032e+00 3.06615309e-03 8.79394364e-01 2.69637090e+00 8.79495447e-03
gen23perm9 1965.2166695412961417 2.58440573e+00 1.00238032e+00 2.91190011e-03 8.79394364e-01 2.37793120e+00 8.46820438e-03
gen23perm1 1973.4339226989370673 2.61711553e+00 9.02046723e-01 2.99922763e-03 3.42312368e-03 2.59929062e+00 9.42166664e-03
gen23perm22 1974.0317029224372618 2.84941471e+00 8.17039762e-01 2.99922763e-03 8.03143096e-01 3.55165248e+00 9.00787887e-03
gen23perm5 1975.4119968904612961 2.59804432e+00 9.02046723e-01 2.99922763e-03 3.72257106e-03 2.69398732e+00 8.58042176e-03
gen23perm3 1980.3719430673579609 2.64924091e+00 1.00238032e+00 3.17631571e-03 4.05209018e-03 2.51432455e+00 8.83344136e-03
gen23perm40 1992.9047086010380099 2.61711553e+00 1.01669128e+00 2.72388190e-03 3.80509870e-03 3.20027474e+00 8.83344136e-03
gen23perm20 2011.7457869232050598 2.61711553e+00 1.01669128e+00 2.92475828e-03 3.72257106e-03 2.33488691e+00 8.29521327e-03
gen23perm27 2038.4422643009077092 2.85339984e+00 1.00238032e+00 2.91190011e-03 8.03143096e-01 2.65956327e+00 9.00787887e-03
gen23perm44 2043.8125831958423078 2.61711553e+00 1.00238032e+00 2.66126517e-03 8.71666534e-01 2.85508290e+00 8.83344136e-03
gen23perm24 2064.2265738681685434 2.61711553e+00 9.02046723e-01 2.71282314e-03 3.92714851e-03 2.69398732e+00 9.00787887e-03
gen23perm34 2159.8454268144655543 2.64924091e+00 9.02046723e-01 2.94620692e-03 3.84480315e-03 2.26367717e+00 7.97334244e-03
gen23perm42 2165.8859926986660867 2.59804432e+00 9.02046723e-01 2.99922763e-03 8.03143096e-01 2.69398732e+00 8.13781972e-03
