Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen18perm34 1916.0707903471400186 2.61711553e+00 9.02046723e-01 2.92475828e-03 3.72257106e-03 2.25428145e+00 8.83344136e-03
gen18perm22 1916.4641446412585992 2.64924091e+00 1.00238032e+00 2.94620692e-03 8.40282004e-01 2.34890736e+00 8.83344136e-03
gen18perm38 1916.5592968886917333 2.64924091e+00 1.00238032e+00 2.94620692e-03 4.05209018e-03 3.59046335e+00 8.83344136e-03
gen18perm21 1919.4474417865467331 2.64924091e+00 1.00325082e+00 2.94620692e-03 8.79394364e-01 2.51432455e+00 8.71543981e-03
gen18perm42 1920.1210170781448596 2.59493422e+00 8.13730477e-01 2.97540976e-03 3.92714851e-03 2.38122537e+00 8.83344136e-03
gen18perm11 1920.1699152248925202 2.79214813e+00 1.00238032e+00 2.94620692e-03 8.79394364e-01 2.51421158e+00 8.56684387e-03
gen18perm12 1920.3297193440985211 2.64924091e+00 9.52886263e-01 2.91190011e-03 7.81656683e-01 2.51432455e+00 8.83344136e-03
gen18perm20 1921.0381644581766523 2.41512642e+00 1.00238032e+00 2.71042182e-03 4.12717127e-03 2.25428145e+00 8.83344136e-03
gen18perm48 1922.1980255512360145 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.05209018e-03 4.08669837e+00 8.30906943e-03
gen18perm5 1922.2157641532808157 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.02246235e-03 3.89365932e+00 8.30906943e-03
gen18perm14 1922.2437187460227506 2.61711553e+00 8.69432404e-01 2.71042182e-03 4.05209018e-03 3.59046335e+00 8.30906943e-03
gen18perm50 1922.2473552810158708 2.61711553e+00 9.00067072e-01 2.71042182e-03 4.12229995e-03 3.59046335e+00 8.30906943e-03
gen18perm2 1922.2475329519425031 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.15156253e-03 3.59046335e+00 8.30906943e-03
gen18perm49 1922.2632606205302181 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.05209018e-03 3.46276134e+00 8.30906943e-03
gen18perm44 1922.3981232737783102 2.64924091e+00 9.02046723e-01 2.71042182e-03 4.29837273e-03 2.44237298e+00 8.30906943e-03
gen18perm23 1922.4083809892015324 2.64924091e+00 1.00325082e+00 2.71042182e-03 8.79394364e-01 2.04005923e+00 8.30906943e-03
gen18perm33 1922.4323203902974910 2.61711553e+00 1.00238032e+00 2.71042182e-03 8.79394364e-01 2.51432455e+00 8.30906943e-03
gen18perm8 1922.4495595697387671 2.61711553e+00 9.02046723e-01 2.71042182e-03 3.92714851e-03 2.46152228e+00 8.30906943e-03
gen18perm6 1922.5118525628340649 2.61711553e+00 9.62073731e-01 2.71042182e-03 8.79394364e-01 2.23251251e+00 8.30906943e-03
gen18perm37 1922.5221373977892654 2.61711553e+00 9.02046723e-01 2.71042182e-03 3.92714851e-03 2.22539240e+00 8.30906943e-03
gen18perm36 1922.5844907396440249 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.05209018e-03 2.05924496e+00 8.30906943e-03
gen18perm41 1924.9393937049430860 2.61711553e+00 1.00238032e+00 2.73619129e-03 8.79394364e-01 2.51432455e+00 8.30906943e-03
gen18perm7 1925.1400132077417311 2.59493422e+00 8.17039762e-01 2.63667729e-03 4.33267289e-03 3.59046335e+00 8.30906943e-03
gen18perm10 1925.9639371796454270 2.64924091e+00 9.02046723e-01 2.97252607e-03 8.79394364e-01 2.25428145e+00 8.69514495e-03
