Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen10perm42 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen10perm1 1924.7471787915201276 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.33575796e+00 8.30906943e-03
gen10perm48 1925.0628384868205103 2.78176303e+00 9.79929971e-02 2.99554414e-03 8.18516926e-01 2.33575796e+00 8.56684387e-03
gen10perm47 1934.5162366231704709 2.80019339e+00 9.02046723e-01 2.91190011e-03 8.18516926e-01 2.44237298e+00 8.30906943e-03
gen10perm36 1944.6114147799808052 2.79214813e+00 9.79929971e-02 2.71042182e-03 4.05209018e-03 2.25428145e+00 8.30906943e-03
gen10perm41 1947.5798729804832874 2.79214813e+00 9.02046723e-01 2.94620692e-03 4.05209018e-03 2.33575796e+00 8.30906943e-03
gen10perm2 1958.1314012054319846 2.86720590e+00 9.02046723e-01 2.94620692e-03 8.18516926e-01 3.69719420e+00 8.15556412e-03
gen10perm8 2042.3860359353307103 1.19541991e+01 3.39660232e-02 3.77853253e-03 4.05209018e-03 4.16747345e-03 8.17645315e-03
gen10perm32 2043.2991284400136465 1.19541991e+01 9.15097692e-01 3.77631435e-03 4.05209018e-03 3.99962182e-03 8.30906943e-03
gen10perm29 2043.7875760933532092 1.12198051e+01 3.48333639e-02 3.56377651e-03 4.73958583e-03 3.79863663e-03 8.30906943e-03
gen10perm3 2043.9514284487474924 1.12198051e+01 9.18833291e-01 3.58866391e-03 4.73958583e-03 3.92007905e-03 8.30906943e-03
gen10perm28 2044.0923677039963877 1.19541991e+01 9.18833291e-01 3.78054921e-03 8.56657008e-01 3.85411079e-03 8.30906943e-03
gen10perm18 2044.2727311698326957 1.12859774e+01 3.39660232e-02 3.58866391e-03 2.21386297e-02 3.87490882e-03 8.30906943e-03
gen10perm49 2045.0100793768397125 1.13642635e+01 8.24480051e-01 3.54857802e-03 4.05209018e-03 3.99962182e-03 8.10800837e-03
gen10perm12 2046.6247396817609570 1.14181528e+01 3.48333639e-02 3.56377651e-03 8.39880076e-01 4.16747345e-03 8.07025509e-03
gen10perm34 2047.9046942592112828 1.19541991e+01 9.02046723e-01 3.56377651e-03 8.78806520e-01 4.16747345e-03 7.63919628e-03
gen10perm4 2052.7355672212756872 1.12198051e+01 3.24589331e-02 3.78054921e-03 2.21386297e-02 4.03448921e-03 8.30906943e-03
gen10perm27 2052.7676222921268163 1.12198051e+01 9.02046723e-01 3.67812568e-03 4.73958583e-03 4.09692420e-03 8.07025509e-03
gen10perm44 2053.8647003587025210 1.19541991e+01 9.02046723e-01 4.22486049e-03 8.26479297e-01 3.58003641e+00 6.97876435e-03
gen10perm5 2058.4845531072778613 1.12198051e+01 3.62388259e-02 3.56377651e-03 8.55206242e-01 4.16747345e-03 8.30906943e-03
gen10perm9 2061.1431541399788330 1.19541991e+01 9.02046723e-01 3.56377651e-03 8.56657008e-01 4.03448921e-03 8.07025509e-03
gen10perm21 2062.4149818207988574 1.19541991e+01 9.61120265e-01 3.78592239e-03 8.78806520e-01 4.16747345e-03 8.52040094e-03
gen10perm17 2063.0364884484633876 1.12198051e+01 3.39660232e-02 3.86473364e-03 4.73958583e-03 4.16747345e-03 8.30906943e-03
gen10perm33 2063.3198499667505530 1.29102022e+01 9.74568993e-01 3.78592239e-03 4.05209018e-03 3.99962182e-03 8.21988595e-03
gen10perm7 2067.7690568005896239 1.12198051e+01 9.02046723e-01 3.78592239e-03 2.21386297e-02 3.86193024e-03 8.30906943e-03
gen10perm10 2067.8681362193124187 1.12198051e+01 9.02046723e-01 3.51467355e-03 5.02025759e-03 4.09692420e-03 8.30906943e-03
gen10perm43 2068.4709551584501241 1.12926873e+01 8.03726595e-02 3.56377651e-03 8.78806520e-01 4.16747345e-03 7.65514176e-03
gen10perm19 2074.3077805999237171 1.12198051e+01 3.48333639e-02 3.81912309e-03 8.55206242e-01 4.30507466e-03 8.07025509e-03
gen10perm50 2089.1117493729375383 1.19541991e+01 1.00474442e+01 3.78592239e-03 8.78806520e-01 3.78993838e-03 7.94486338e-03
