Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen34perm18 1898.5376150844006133 2.32014279e+00 1.04802163e+00 3.42452851e-03 3.77321040e-03 2.88499212e+00 1.04187332e-02
gen34perm34 1900.2815221981331888 2.27265407e+00 1.04802163e+00 3.19775504e-03 3.72978297e-03 2.88499212e+00 1.00671776e-02
gen34perm33 1900.3978605111722118 2.30095216e+00 8.70136121e-01 3.19775504e-03 4.23890226e-03 2.59451174e+00 1.00671776e-02
gen34perm42 1900.4163984801216429 2.30095216e+00 1.00544522e+00 3.19775504e-03 3.79189512e-03 2.32109323e+00 1.00671776e-02
gen34perm4 1900.4286742900055742 2.30095216e+00 1.10638083e+00 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.00671776e-02
gen34perm15 1900.6016400343116857 2.26539961e+00 1.04802163e+00 3.19775504e-03 3.97552792e-03 2.88499212e+00 1.00671776e-02
gen34perm40 1901.6318784380514444 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.61158129e-03 2.32109323e+00 1.00671776e-02
gen34perm11 1901.6328020721932717 2.32014279e+00 9.79416747e-01 3.19775504e-03 4.12402764e-03 2.36586170e+00 1.00671776e-02
gen34perm3 1901.6360885808248895 2.32014279e+00 8.70136121e-01 3.19775504e-03 3.92714851e-03 2.43556623e+00 1.00671776e-02
gen34perm27 1901.6363287761764695 2.32014279e+00 8.75303991e-01 3.19775504e-03 4.12402764e-03 2.43556623e+00 1.00671776e-02
gen34perm36 1901.6497536128163119 2.32014279e+00 9.85665439e-01 3.19775504e-03 4.12402764e-03 2.43556623e+00 1.00671776e-02
gen34perm7 1901.6538137250108775 2.32014279e+00 1.04802163e+00 3.19775504e-03 7.91643710e-01 2.46380113e+00 1.00671776e-02
gen34perm32 1901.6572030025981803 2.32014279e+00 1.04251003e+00 3.19775504e-03 3.92714851e-03 2.43556623e+00 1.00671776e-02
gen34perm19 1901.6636642262560599 2.32014279e+00 1.09563335e+00 3.19775504e-03 3.92714851e-03 2.43556623e+00 1.00671776e-02
gen34perm29 1901.6708219416996144 2.32014279e+00 8.75303991e-01 3.19775504e-03 4.15167338e-03 2.59451174e+00 1.00671776e-02
gen34perm30 1901.6717416529747879 2.32014279e+00 9.20869319e-01 3.19775504e-03 3.92714851e-03 2.57021673e+00 1.00671776e-02
gen34perm10 1901.6800639336440781 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.53608658e+00 1.00671776e-02
gen34perm13 1901.6825094348425864 2.32014279e+00 9.67356778e-01 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.00671776e-02
gen34perm48 1901.6923700586264658 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.00671776e-02
gen34perm20 1901.6995341882288812 2.32014279e+00 1.10638083e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.00671776e-02
gen34perm49 1901.7052943959558888 2.32014279e+00 9.69900040e-01 3.19775504e-03 3.92714851e-03 2.70604893e+00 1.00671776e-02
gen34perm5 1901.7067236637942642 2.32014279e+00 9.20869319e-01 3.19775504e-03 3.86246503e-03 2.74382807e+00 1.00671776e-02
gen34perm43 1901.7154404573152533 2.32014279e+00 9.50839849e-01 3.19775504e-03 7.78563590e-01 2.82088303e+00 1.00671776e-02
gen34perm31 1901.7245363901638484 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.75677663e+00 1.00671776e-02
gen34perm17 1901.7480178328603415 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.88499212e+00 1.00671776e-02
gen34perm24 1901.7785189836579320 2.32014279e+00 1.07176433e+00 3.19775504e-03 3.87545074e-03 3.04756403e+00 1.00671776e-02
gen34perm2 1902.9745435735922001 2.32014279e+00 1.05296324e+00 3.18659409e-03 3.93214181e-03 2.88499212e+00 1.00671776e-02
gen34perm6 1904.0076777758479238 2.32014279e+00 1.10465568e+00 3.17824481e-03 4.12882805e-03 2.57021673e+00 1.00671776e-02
gen34perm47 1905.0638723051627039 2.34623717e+00 1.04802163e+00 3.19775504e-03 7.91643710e-01 2.88499212e+00 1.00671776e-02
gen34perm35 1906.2461019169302290 2.34579757e+00 1.00544522e+00 3.41350831e-03 3.92714851e-03 2.72366496e+00 1.06616949e-02
gen34perm12 1907.2314298149276510 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.69368844e+00 9.85656232e-03
gen34perm25 1912.8973328915280945 2.32014279e+00 9.20869319e-01 3.32744190e-03 3.92714851e-03 2.43556623e+00 1.00671776e-02
gen34perm45 1915.9111915897428844 2.18120906e+00 8.84373258e-01 3.19775504e-03 3.92714851e-03 2.70179552e+00 1.00671776e-02
gen34perm14 1921.8199873864289202 2.32014279e+00 9.05426014e-01 3.10682806e-03 3.92714851e-03 2.59451174e+00 1.00671776e-02
gen34perm46 1922.7725936020901827 2.42020005e+00 8.84373258e-01 3.19775504e-03 4.15167338e-03 2.43556623e+00 1.00671776e-02
gen34perm21 1923.2671817990935779 2.32014279e+00 9.44432828e-01 3.38831384e-03 3.92714851e-03 2.43556623e+00 1.08017127e-02
gen34perm37 1941.4968092391975460 2.12044251e+00 9.20869319e-01 3.19775504e-03 3.61158129e-03 2.43556623e+00 1.00671776e-02
gen34perm16 1959.3034925253423353 2.32014279e+00 1.04802163e+00 3.44696358e-03 3.92714851e-03 2.92636447e+00 1.00671776e-02
gen34perm22 1960.6320655119150160 2.51040546e+00 1.04802163e+00 3.19775504e-03 7.44299720e-01 2.69398732e+00 1.00671776e-02
gen34perm28 1967.4344426368156746 2.32014279e+00 9.79416747e-01 3.46035120e-03 4.15167338e-03 2.50609138e+00 1.00671776e-02
gen34perm9 1969.8461479108593721 2.53002238e+00 8.70136121e-01 3.19775504e-03 3.84632291e-03 2.32109323e+00 1.00671776e-02
gen34perm39 1973.5743011783599741 2.30095216e+00 7.98287760e-01 3.19775504e-03 3.92714851e-03 2.88499212e+00 9.52840147e-03
gen34perm38 1975.1495366660619766 2.53992551e+00 8.70136121e-01 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.00671776e-02
gen34perm23 2006.7691993883870509 2.32014279e+00 9.20869319e-01 3.19775504e-03 4.26016168e-03 2.43556623e+00 1.06800197e-02
gen34perm1 2066.9628583770754631 2.32014279e+00 8.84373258e-01 3.19775504e-03 3.92714851e-03 3.16984580e+00 1.08548334e-02
gen34perm41 2070.4847635518221978 2.32014279e+00 8.70136121e-01 2.88735706e-03 3.92714851e-03 2.59451174e+00 1.00671776e-02
gen34perm44 2091.3641702500399333 2.32014279e+00 8.75303991e-01 3.23514983e-03 4.32217267e-03 2.71607103e+00 1.10217374e-02
gen34perm50 2102.8767130099649876 2.32014279e+00 9.44432828e-01 3.19775504e-03 4.15252797e-03 3.07923581e+00 1.09506265e-02
gen34perm8 2104.8001245205523446 2.42840382e+00 9.34672109e-01 3.19775504e-03 3.92714851e-03 2.88499212e+00 1.06959663e-02
gen34perm26 2126.7785073078248388 2.32014279e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.59451174e+00 1.10145854e-02
