Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen41perm49 1891.6931006459285527 2.30095216e+00 8.75303991e-01 3.59655428e-03 3.54847705e-03 2.54356241e+00 1.10634457e-02
gen41perm29 1894.9676200644883011 2.09131573e+00 8.75303991e-01 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.06201730e-02
gen41perm44 1895.0642873906490422 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen41perm17 1895.0702864291579317 2.23536713e+00 9.23406929e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen41perm30 1895.0857653309888065 2.23536713e+00 1.04802163e+00 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.06201730e-02
gen41perm12 1895.5373625485806315 2.24896834e+00 1.01893639e+00 3.33596896e-03 3.77321040e-03 2.73921040e+00 1.05097495e-02
gen41perm16 1895.8209254525554570 2.23536713e+00 8.94827444e-01 3.35448981e-03 3.77321040e-03 2.65033140e+00 1.05097495e-02
gen41perm20 1895.8631822663332969 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.98859585e-03 2.30272250e+00 1.05097495e-02
gen41perm22 1895.8721548147377689 2.27423150e+00 9.03852587e-01 3.35448981e-03 3.69085299e-03 2.46824136e+00 1.05097495e-02
gen41perm39 1896.4264903991729625 2.30095216e+00 8.24902593e-01 3.35448981e-03 3.77321040e-03 2.88499212e+00 1.04187332e-02
gen41perm13 1896.4341290911177111 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.85652196e+00 1.04187332e-02
gen41perm19 1896.4778390051278620 2.30095216e+00 8.80782073e-01 3.35448981e-03 3.78669039e-03 2.23634270e+00 1.04187332e-02
gen41perm10 1896.5081459484783863 2.30095216e+00 1.04802163e+00 3.35448981e-03 3.94423562e-03 2.15464497e+00 1.04187332e-02
gen41perm5 1896.5482674815136761 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.77321040e-03 2.59451174e+00 1.04006504e-02
gen41perm8 1896.6437238886680916 2.32014279e+00 1.04802163e+00 3.42452851e-03 3.92714851e-03 2.32109323e+00 1.06201730e-02
gen41perm32 1896.7484676938197481 2.23536713e+00 1.04802163e+00 3.42452851e-03 3.61547527e-03 2.37260744e+00 1.06201730e-02
gen41perm36 1896.8040409975658349 2.12636053e+00 8.75303991e-01 3.19775504e-03 3.50040980e-03 2.15464497e+00 1.04187332e-02
gen41perm11 1898.2988835118758288 2.30095216e+00 8.75303991e-01 3.35448981e-03 3.69085299e-03 2.59451174e+00 1.05097495e-02
gen41perm35 1898.4133135201082041 2.30095216e+00 1.04802163e+00 3.35448981e-03 3.69085299e-03 2.88499212e+00 1.05097495e-02
gen41perm15 1899.9884033907605954 2.27423150e+00 9.03852587e-01 3.35448981e-03 3.92714851e-03 2.57487747e+00 1.06201730e-02
gen41perm33 1901.0942779316455926 2.09131573e+00 8.75303991e-01 3.19775504e-03 3.92714851e-03 2.15464497e+00 1.04187332e-02
gen41perm40 1903.4914349369598767 2.30095216e+00 1.01542977e+00 3.35448981e-03 3.77321040e-03 2.15464497e+00 1.02561210e-02
gen41perm27 1903.7271655605482010 2.42010964e+00 8.75303991e-01 3.54329731e-03 3.85377686e-03 2.84473654e+00 1.03891536e-02
gen41perm31 1905.3814852601251459 2.30095216e+00 8.75303991e-01 3.31527005e-03 3.92714851e-03 2.88499212e+00 1.05097495e-02
gen41perm26 1913.1687993096088576 2.23536713e+00 1.04802163e+00 3.35448981e-03 4.00721727e-03 2.59451174e+00 1.08659873e-02
gen41perm48 1913.4820403925712071 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.94423562e-03 2.59451174e+00 1.08659873e-02
gen41perm43 1913.7779193313278938 2.23536713e+00 8.75303991e-01 3.35448981e-03 4.14715711e-03 2.59451174e+00 1.08708872e-02
gen41perm25 1913.9566056978499091 2.33010070e+00 8.75303991e-01 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.06201730e-02
gen41perm14 1915.0950403873980576 2.08284725e+00 1.08809949e+00 3.19775504e-03 3.37510734e-03 2.15464497e+00 1.03123309e-02
gen41perm23 1923.1668970121329494 2.12636053e+00 1.04802163e+00 3.33514629e-03 3.89685408e-03 2.43556623e+00 1.04502189e-02
gen41perm6 1931.8655711831729604 2.30095216e+00 8.24902593e-01 3.35448981e-03 4.01839484e-03 2.15464497e+00 1.08200349e-02
gen41perm38 1932.6530109890290987 2.30095216e+00 8.56632715e-01 3.19775504e-03 3.92714851e-03 2.39159118e+00 1.04187332e-02
gen41perm41 1938.4286069397535357 2.30095216e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.32109323e+00 1.04512489e-02
gen41perm4 1941.1853826108379053 2.14777258e+00 1.04802163e+00 3.21722750e-03 3.94423562e-03 2.59451174e+00 1.09226226e-02
gen41perm42 1942.5803762536822887 2.11491016e+00 8.75303991e-01 3.35448981e-03 3.94423562e-03 2.59451174e+00 1.04187332e-02
gen41perm37 1945.2764177566048147 2.03311150e+00 1.04802163e+00 3.35448981e-03 3.78669039e-03 2.59451174e+00 1.06201730e-02
gen41perm47 1949.5090984451915119 2.02622433e+00 1.04802163e+00 3.35448981e-03 3.67077636e-03 2.59451174e+00 1.06201730e-02
gen41perm21 1952.8372209100507462 2.12636053e+00 1.06665168e+00 3.43062238e-03 3.82134409e-03 2.88499212e+00 1.05097495e-02
gen41perm7 1955.7718539548650369 1.92848757e+00 1.04802163e+00 3.19775504e-03 3.90336313e-03 2.88499212e+00 1.05097495e-02
gen41perm3 1960.8864439795677299 2.23536713e+00 8.75303991e-01 3.25268820e-03 3.92714851e-03 2.59451174e+00 1.08659873e-02
gen41perm9 1966.8435605987515373 2.14777258e+00 8.75303991e-01 3.64209759e-03 3.77321040e-03 2.59451174e+00 1.08659873e-02
gen41perm46 1972.8480554155571554 2.09131573e+00 1.04802163e+00 3.42452851e-03 3.90336313e-03 2.59451174e+00 1.05097495e-02
gen41perm34 1975.7358291539530910 2.30095216e+00 1.04802163e+00 3.35448981e-03 3.84468223e-03 2.32109323e+00 9.85613645e-03
gen41perm1 1976.3297066971269942 2.30095216e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.33551638e+00 1.06201730e-02
gen41perm24 1976.8966971136594566 2.51443681e+00 8.71810505e-01 3.35448981e-03 3.69085299e-03 3.05251077e+00 1.05097495e-02
gen41perm18 1979.3368097222826236 2.09131573e+00 1.04802163e+00 3.19775504e-03 3.92714851e-03 2.65033140e+00 1.12012065e-02
gen41perm28 2004.8239858898466537 2.29872245e+00 8.75303991e-01 3.35448981e-03 3.92714851e-03 2.59451174e+00 1.11310792e-02
gen41perm50 2056.0028798886451114 2.23536713e+00 8.75303991e-01 3.35448981e-03 3.94423562e-03 2.59451174e+00 9.75839279e-03
gen41perm2 2064.9694977164867851 2.09131573e+00 1.04802163e+00 3.60372901e-03 3.94423562e-03 2.59451174e+00 1.06201730e-02
gen41perm45 2178.6499340455948186 2.53955183e+00 1.14366444e+00 3.19775504e-03 3.92714851e-03 2.88499212e+00 1.06201730e-02
