Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen13perm13 1921.9441444740687075 2.79214813e+00 9.36218439e-02 2.91190011e-03 7.81656683e-01 2.44237298e+00 8.56684387e-03
gen13perm45 1922.2478560021138492 2.61711553e+00 9.02046723e-01 2.71042182e-03 4.05209018e-03 3.59046335e+00 8.30906943e-03
gen13perm25 1922.6768965532378388 2.89139048e+00 1.00238032e+00 2.94620692e-03 8.79394364e-01 2.51432455e+00 8.42441153e-03
gen13perm12 1924.6565677617081747 2.95379282e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen13perm49 1924.6631921468201654 2.97190101e+00 8.58662805e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen13perm11 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen13perm16 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen13perm29 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen13perm31 1924.6681103985313257 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 3.86439468e+00 8.30906943e-03
gen13perm43 1924.6714442827806124 2.97190101e+00 8.30786306e-01 2.94620692e-03 3.66094057e-03 3.86439468e+00 8.30906943e-03
gen13perm15 1924.7471250831724774 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.33627808e+00 8.30906943e-03
gen13perm1 1924.7471876279817025 2.97190101e+00 9.02046723e-01 2.94620692e-03 7.99837176e-01 2.33575796e+00 8.30906943e-03
gen13perm10 1924.7532206209521064 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.27904937e+00 8.30906943e-03
gen13perm46 1924.7565154028470715 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.24960103e+00 8.30906943e-03
gen13perm40 1924.7633171353963917 2.97190101e+00 9.02046723e-01 2.94620692e-03 8.79394364e-01 2.19179765e+00 8.30906943e-03
gen13perm47 1925.0769391207129502 2.97190101e+00 9.02046723e-01 3.00823583e-03 9.64298013e-01 2.48052944e+00 8.37832750e-03
gen13perm28 1925.5116773758734325 2.97190101e+00 8.48577491e-02 2.94620692e-03 9.64298013e-01 2.33575796e+00 8.37832750e-03
gen13perm42 1925.6062322795937689 2.97190101e+00 9.35624301e-01 2.94620692e-03 7.67173734e-01 2.33575796e+00 8.37832750e-03
gen13perm14 1925.7457037073586434 2.88534374e+00 9.02046723e-01 2.85553014e-03 7.99574525e-01 2.33575796e+00 8.30906943e-03
gen13perm18 1926.5877214739182364 2.97190101e+00 9.02046723e-01 2.91190011e-03 8.46631706e-01 2.44237298e+00 8.30906943e-03
gen13perm48 1926.6014805310330757 2.97190101e+00 1.02571790e+00 2.91190011e-03 8.18516926e-01 2.44237298e+00 8.30906943e-03
gen13perm41 1927.0926135152274128 2.88218313e+00 9.02046723e-01 2.94620692e-03 9.64298013e-01 2.33575796e+00 8.56684387e-03
gen13perm39 1927.5939631847895726 3.26795290e+00 9.02046723e-01 3.11334556e-03 8.51208572e-01 3.61656562e+00 8.30906943e-03
gen13perm6 1929.3946106113342012 2.88534374e+00 9.93940535e-02 2.94620692e-03 8.18516926e-01 2.39301899e+00 8.30906943e-03
