Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen2perm29 3008.0369978380972498 1.19541991e+01 3.48333639e-02 3.78054921e-03 8.18516926e-01 1.99138094e-02 8.30906943e-03
gen2perm41 3569.2045909264475085 1.19541991e+01 2.92486889e+01 3.73385441e-03 8.78806520e-01 8.70754255e-02 8.30906943e-03
gen2perm3 4072.7781522250443231 1.19541991e+01 2.51014911e+02 3.56377651e-03 8.78806520e-01 2.77538270e+02 8.30906943e-03
gen2perm12 4377.5516704255924196 2.79214813e+00 9.02046723e-01 2.94620692e-03 4.32473415e-03 4.16747345e-03 1.73363347e+00
gen2perm21 5036.9603429345806944 1.63978288e-01 2.69810627e+00 2.39242503e-01 1.16156835e-03 2.12874013e+00 2.56485601e+02
gen2perm42 6222.9472718985316533 1.76792814e+02 3.63223284e-02 4.96606352e+01 2.17725830e-03 3.51590274e+00 2.45545552e+01
gen2perm33 6393.1371214275413877 4.36148741e+01 4.47890099e-01 3.78922956e+02 1.49159840e-03 3.06968937e-01 2.10142591e+02
gen2perm15 7231.7480231396239105 2.11885423e+00 4.41972736e+02 2.75484089e-02 1.35653828e-03 4.48421335e+01 1.30534761e-01
gen2perm45 7543.8455890895447737 2.37956241e-03 9.79929971e-02 2.97412122e-03 1.96226390e-03 2.72127304e+02 1.77014977e+00
gen2perm39 7593.6966897691099803 1.19541991e+01 9.54128659e+02 3.04361811e+01 1.48735409e+02 5.20937027e-01 2.96170378e+02
gen2perm27 7975.2769540468534615 1.07468850e-01 2.81192508e-03 1.05613846e-01 2.20658994e-02 3.06968937e-01 2.20481727e+02
gen2perm7 9015.9572681887802901 1.99882367e-02 1.00474442e+01 2.70511068e-03 1.29149769e-01 3.45714551e-01 3.16378045e-01
gen2perm20 9154.7446787224635045 1.62467309e+01 3.76751779e+02 9.20456535e+00 1.52488122e+02 3.78829886e-01 9.27759634e+01
gen2perm40 9436.1214936733122158 6.50447257e-01 3.63223284e-02 3.56377651e-03 8.78806520e-01 3.58003641e+00 8.07025509e-03
gen2perm9 11149.2034281525884580 1.76792814e+02 3.39064713e-03 5.45870871e+01 2.15509276e+00 1.76091578e-03 1.24187912e+01
gen2perm18 11330.7433712135953101 2.75272885e+01 3.90713167e-03 3.78922956e+02 1.49159840e-03 3.06968937e-01 9.42883031e+01
gen2perm10 12340.7847846022887097 1.88159934e-02 2.92486889e+01 2.61910705e-03 2.17725830e-03 9.06947127e-02 2.45545552e+01
gen2perm47 12388.6354571642514202 1.08753504e-01 2.86987905e-01 1.05613846e-01 2.17725830e-03 9.06947127e-02 2.45545552e+01
gen2perm46 12923.1957906717816513 6.54246950e+02 9.07159709e+01 6.86351637e-02 4.32473415e-03 2.25373376e+02 3.37010638e-01
gen2perm48 12990.7734654815176327 1.76792814e+02 2.92486889e+01 4.96606352e+01 2.09337789e-02 2.28457586e+00 7.11399578e+00
gen2perm16 13686.3817081519428029 2.77996048e+00 8.62326915e-02 1.22660112e-03 9.85111364e-01 4.04585257e+01 2.12982697e-02
gen2perm24 13770.6254279953718651 5.31690984e-01 9.45358465e-03 9.20456535e+00 1.52488122e+02 2.67649478e-03 8.90368751e+01
gen2perm36 14495.9582243345648749 5.31690984e-01 3.50351399e+02 9.69765807e-02 2.05918167e-02 2.28457586e+00 7.11399578e+00
gen2perm35 14800.4112018574742251 1.17834204e-01 2.86987905e-01 9.20456535e+00 1.52488122e+02 3.84539659e-02 8.69915254e+01
gen2perm4 15450.5872494880459271 2.41723484e-01 3.63223284e-02 2.87614408e+02 2.95156216e-03 3.51590274e+00 1.19024488e+02
gen2perm2 16014.9369129181068274 1.76792814e+02 2.92486889e+01 4.96606352e+01 2.17725830e-03 2.25373376e+02 1.73363347e+00
gen2perm50 16501.9456544792228669 1.62467309e+01 5.69672375e+00 1.88095624e+01 3.03244161e+02 4.05555192e-01 4.39431170e-01
gen2perm28 16505.4212912554176000 3.89825521e+02 2.90806019e-01 3.78922956e+02 1.49159840e-03 2.28457586e+00 7.11399578e+00
