Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm16	3573570.42067076
perm8	3573803.3757377
perm30	3573869.05635207
perm1	3574040.3420394
perm28	3574278.96714181
perm11	3574417.78935813
perm36	3574429.73334588
perm10	3574519.31051
perm5	3574630.86215246
perm2	3574646.77796444
perm39	3574924.33080378
perm32	3574959.96649794
perm43	3576696.36148922
perm27	3578332.96002209
perm9	3578396.25627846
perm34	3578543.57665138
perm44	3578555.81466059
perm42	3578571.25527368
perm38	3578597.84810024
perm20	3582636.35815447
perm22	3584015.65107362
perm3	3584116.82228858
perm24	3586315.4597947
perm17	3586557.03015401
perm4	3587796.96942305
perm31	3600545.9372892
perm48	3604864.28331433
perm23	3606875.20539616
perm7	3607106.52497101
perm18	3617999.45203521
perm26	3636029.59034649
perm33	3650328.46671931
perm6	3650733.22908098
perm49	3659837.98833217
perm15	3660191.37000602
perm46	3700090.89755827
perm45	3721516.87704286
perm12	3731079.35441585
perm13	3743489.61584584
perm50	3782547.67104775
perm19	3869297.42494511
perm25	3869482.25726195
perm41	3874639.65702655
perm37	3899956.91591491
perm35	4035513.97102822
perm29	4069072.91271244
perm21	4087964.92685523
perm40	4096789.081898
perm47	4502420.1830536
perm14	4507832.98909186
