Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm19	3656524.7079197
perm3	3661628.78575366
perm42	3661666.66547998
perm43	3661666.66547998
perm44	3661666.66547998
perm24	3661705.36814859
perm35	3661711.15089921
perm17	3661712.15400078
perm48	3661715.42227894
perm1	3661756.75501453
perm33	3661760.09947299
perm10	3661760.20785875
perm28	3661799.6211763
perm12	3661807.0177179
perm11	3663641.7952685
perm26	3664470.81740473
perm22	3664609.1503917
perm21	3667453.69148997
perm14	3668815.02607378
perm29	3669677.27967403
perm8	3692326.51033175
perm37	3697628.959717
perm23	3700914.72609683
perm5	3701602.11119343
perm31	3712370.28129881
perm20	3712424.68346425
perm36	3731485.98793653
perm9	3734126.37423633
perm40	3741562.40672121
perm50	3749013.46816838
perm47	3760001.35718726
perm27	3760043.3732257
perm13	3765078.19079761
perm45	3785849.21115779
perm38	3820437.52981394
perm16	3830231.21122739
perm7	3883712.06961783
perm30	3885365.90339904
perm41	3895606.80091939
perm18	3913716.6701443
perm6	3938937.43493461
perm34	3951028.3219041
perm4	3954071.93193243
perm39	3980188.55801478
perm46	4043405.21264375
perm15	4110075.58009719
perm32	4136746.20192183
perm2	4820668.56498083
perm49	5090683.41158659
perm25	5816894.37380329
