Permutation Chi-Sq K2RT__FREE__ KD1__FREE__ kdephos__FREE__ km1__FREE__ km2__FREE__ kphos__FREE__
gen27perm11 1906.9732291328866722 2.50845463e+00 1.00544522e+00 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.67619630e-03
gen27perm9 1908.4371763471515351 2.59804432e+00 1.04802163e+00 3.19775504e-03 7.69902255e-01 3.59046335e+00 9.43002891e-03
gen27perm2 1908.4634208513480189 2.59804432e+00 9.44432828e-01 3.19775504e-03 7.44299720e-01 2.94129889e+00 9.43002891e-03
gen27perm37 1908.4800940150851147 2.59804432e+00 9.02046723e-01 3.19775504e-03 7.69902255e-01 2.69398732e+00 9.43002891e-03
gen26perm15 1908.4913758527814025 2.59804432e+00 1.00238032e+00 3.19775504e-03 7.69902255e-01 2.69398732e+00 9.43002891e-03
gen27perm16 1908.4954848138906982 2.59804432e+00 1.00238032e+00 3.19775504e-03 3.92714851e-03 2.80644413e+00 9.43002891e-03
gen27perm44 1908.4956089021704884 2.59804432e+00 9.20869319e-01 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.43002891e-03
gen27perm24 1908.5032449396067022 2.59804432e+00 9.81066444e-01 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.43002891e-03
gen27perm33 1908.5059983087392084 2.59804432e+00 1.00238032e+00 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.43002891e-03
gen27perm50 1910.1382309932723729 2.47886271e+00 9.20869319e-01 3.06488200e-03 3.92714851e-03 2.69398732e+00 9.44912338e-03
gen27perm27 1911.5475552027237427 2.59804432e+00 1.00238032e+00 3.19775504e-03 3.92714851e-03 2.69398732e+00 9.34498020e-03
gen27perm43 1912.1864053458143644 2.59804432e+00 1.00238032e+00 3.06488200e-03 7.69902255e-01 2.69398732e+00 9.18939992e-03
gen26perm37 1912.1869548629513247 2.59804432e+00 9.20869319e-01 3.06488200e-03 3.92714851e-03 2.69398732e+00 9.18939992e-03
gen27perm12 1912.1967415204669578 2.59804432e+00 1.09459053e+00 3.06488200e-03 7.69902255e-01 2.69398732e+00 9.18939992e-03
gen25perm19 1912.2041491220802527 2.58440573e+00 9.81439775e-01 3.06488200e-03 7.47872388e-01 2.69398732e+00 9.22927968e-03
gen26perm5 1913.4182844490712796 2.57803596e+00 8.12891577e-01 2.99922763e-03 3.79839698e-03 3.59046335e+00 9.00787887e-03
gen27perm40 1913.4683865253211934 2.58440573e+00 1.00238032e+00 2.99922763e-03 7.47872388e-01 2.69398732e+00 9.00787887e-03
gen27perm49 1913.4689457565289104 2.59804432e+00 8.88879028e-01 3.06488200e-03 8.03143096e-01 2.69398732e+00 9.22927968e-03
gen26perm11 1913.4689457565289104 2.59804432e+00 8.88879028e-01 3.06488200e-03 8.03143096e-01 2.69398732e+00 9.22927968e-03
gen27perm39 1913.4696456141709859 2.59804432e+00 9.81439775e-01 3.06488200e-03 8.03143096e-01 2.65956327e+00 9.22927968e-03
gen25perm3 1913.5382895969603396 2.59804432e+00 9.14517167e-01 2.99922763e-03 8.03143096e-01 3.59046335e+00 9.00787887e-03
gen26perm9 1913.5414759177006090 2.59804432e+00 1.00238032e+00 3.00732078e-03 8.03143096e-01 2.51432455e+00 9.00787887e-03
gen26perm47 1913.5445385552925472 2.59804432e+00 7.66020932e-01 2.99922763e-03 8.03143096e-01 2.69398732e+00 9.00787887e-03
gen27perm35 1913.5480770212702737 2.59804432e+00 1.00238032e+00 2.99922763e-03 7.44299720e-01 3.59046335e+00 9.00787887e-03
gen26perm28 1913.5481449050316769 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.03143096e-01 3.59046335e+00 9.00787887e-03
gen26perm29 1913.5481449050316769 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.03143096e-01 3.59046335e+00 9.00787887e-03
gen26perm10 1913.5481873942910624 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen26perm43 1913.5481873942910624 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen25perm42 1913.5481873942910624 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen25perm43 1913.5481873942910624 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen25perm44 1913.5481873942910624 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen24perm43 1913.5481873942910624 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen23perm25 1913.5481954294536990 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.50079493e-01 3.59046335e+00 9.00787887e-03
gen26perm40 1913.5535543677465284 2.59804432e+00 1.05070210e+00 2.99922763e-03 7.74597759e-01 3.59046335e+00 9.00787887e-03
gen26perm18 1913.5536273923382851 2.59804432e+00 8.46848449e-01 2.99922763e-03 7.70619421e-01 2.69398732e+00 9.00787887e-03
gen26perm20 1913.5542514645014762 2.59804432e+00 1.00238032e+00 2.99922763e-03 8.85329778e-01 3.23950302e+00 9.00787887e-03
gen26perm21 1913.5573235160627519 2.59804432e+00 1.00238032e+00 2.99922763e-03 4.26010424e-03 3.80682578e+00 9.00787887e-03
gen25perm24 1913.5583001697611962 2.59804432e+00 8.88879028e-01 2.99922763e-03 8.03143096e-01 2.69398732e+00 9.00787887e-03
gen26perm7 1913.5598111632693872 2.59804432e+00 9.02046723e-01 2.99922763e-03 8.03143096e-01 2.69398732e+00 9.00787887e-03
gen25perm35 1913.5598111632693872 2.59804432e+00 9.02046723e-01 2.99922763e-03 8.03143096e-01 2.69398732e+00 9.00787887e-03
gen24perm15 1913.5598111632693872 2.59804432e+00 9.02046723e-01 2.99922763e-03 8.03143096e-01 2.69398732e+00 9.00787887e-03
