Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm11	3636546.89662951
perm9	3642132.45606389
perm2	3642232.62872763
perm37	3642296.26925183
perm16	3642355.01555501
perm44	3642355.48919887
perm24	3642384.63594501
perm33	3642395.14558044
perm50	3648628.06150211
perm27	3654014.05580151
perm43	3656456.84878935
perm12	3656496.37828149
perm40	3661361.26623182
perm49	3661363.4063746
perm39	3661366.08468682
perm35	3661666.2430718
perm8	3661722.35124774
perm10	3661728.87604244
perm36	3661734.04936199
perm42	3661754.32835533
perm38	3661754.34738447
perm23	3661777.75807401
perm45	3673842.65247849
perm32	3681770.57806352
perm48	3682245.25890926
perm1	3692166.60438415
perm21	3696232.43652728
perm46	3699298.0349654
perm41	3704271.43281061
perm31	3704672.43364186
perm19	3718204.88626532
perm6	3741546.24430918
perm47	3746155.99640763
perm3	3765386.41369858
perm13	3773962.33420271
perm22	3785073.0712435
perm4	3800967.4019872
perm7	3829312.53539005
perm15	3834392.9760255
perm14	3865993.59878708
perm30	3865997.88242898
perm25	3866786.35416364
perm17	3866836.97898915
perm18	3867246.22279968
perm29	3871511.53321253
perm28	3918488.60260431
perm26	3978902.64366671
perm5	4023268.19563232
perm20	4109232.74460333
perm34	4217013.34695268
