Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm23	3704302.90365338
perm32	3704347.33518505
perm15	3704627.19614494
perm49	3704987.64422569
perm20	3705925.50176824
perm21	3707965.07905149
perm16	3709387.68035727
perm31	3709843.51445817
perm24	3711740.02431533
perm35	3744810.83119816
perm18	3746192.59088698
perm48	3747855.77566208
perm19	3749696.30474574
perm7	3781465.80848774
perm38	3781573.49287925
perm6	3781900.83722633
perm25	3783104.2590297
perm5	3784415.07693009
perm22	3787207.80020741
perm41	3789303.45433155
perm28	3790944.38531052
perm42	3791339.42171023
perm1	3792615.47448978
perm39	3792956.05504009
perm34	3795934.33883159
perm36	3802014.8179988
perm3	3830846.74103346
perm44	3831680.2549335
perm47	3850791.29739268
perm46	3878731.01472397
perm33	3881662.57994605
perm12	3894470.97340667
perm45	3895794.06470775
perm43	3897002.25149149
perm9	3907532.31078402
perm8	3909880.09386466
perm29	3939967.26369164
perm2	3967910.43946073
perm27	3990910.04423095
perm50	3995019.53657631
perm13	4007316.61741027
perm11	4037709.94388438
perm37	4049964.71741872
perm30	4062838.02648575
perm14	4192356.33784682
perm4	4387944.09452678
perm26	4397360.51345971
perm17	4454778.48314203
perm40	4457444.26246068
perm10	4478149.69859419
