Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm17	3629827.85593136
perm36	3636546.89810642
perm34	3636647.83692334
perm7	3639064.19375563
perm37	3641928.69533427
perm1	3642112.68376244
perm21	3642124.36691836
perm24	3642132.17038011
perm45	3642132.24677675
perm42	3642132.38322446
perm41	3642202.95077285
perm16	3642214.50163562
perm49	3642232.4185619
perm47	3642296.26925183
perm15	3642302.76838775
perm6	3642313.02626874
perm13	3642314.43869995
perm9	3642330.05828832
perm8	3642355.03194531
perm46	3642355.48919887
perm27	3642379.05911103
perm50	3642394.19860634
perm29	3642395.14558044
perm32	3642395.14558044
perm20	3642398.8191802
perm2	3642408.51845016
perm19	3642417.5786823
perm23	3647911.5599051
perm30	3648789.75958141
perm33	3656456.83777439
perm28	3656497.0560151
perm40	3665355.34896783
perm18	3675921.37478538
perm39	3691083.84545063
perm38	3698243.15277181
perm22	3701653.70720832
perm26	3706105.50975039
perm3	3717325.59243083
perm44	3718165.4188634
perm35	3723126.58507564
perm11	3725373.91272883
perm48	3734984.46424081
perm25	3742194.11608998
perm43	3742297.04185384
perm12	3808163.3436302
perm5	3837196.61042933
perm31	3860365.78110851
perm4	3864365.84274726
perm14	3871508.64967425
perm10	4130790.1350569
