Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm47	3704347.33517293
perm45	3748538.72208627
perm40	3781794.34023708
perm46	3792919.70643611
perm39	3792956.05504009
perm13	4161495.20199963
perm20	4172716.57191793
perm4	4183196.71315542
perm23	4189601.55893101
perm50	4191113.73252307
perm2	4209804.19469489
perm29	4211030.77946425
perm27	4213783.93505826
perm14	4214189.11854763
perm17	4219585.90479961
perm9	4257084.63553929
perm3	4267363.77013957
perm8	4301865.9637878
perm49	4311561.27562305
perm30	4396959.27776152
perm35	4408130.97064992
perm19	4445824.65614423
perm10	4502020.9777316
perm43	4537114.87243922
perm31	4548111.18975984
perm24	4560564.41298961
perm6	4567520.68781458
perm5	4571202.27556755
perm28	4687306.01278591
perm36	4741579.53207136
perm7	4763531.22280718
perm37	4961620.49805456
perm41	5016730.52964336
perm12	5063430.66787031
perm44	5091350.87365881
perm18	5198942.82011544
perm32	5289117.31063016
perm11	6051213.7348663
perm1	6240382.32604884
perm48	7008871.78661785
perm38	7191775.18815378
perm42	7975010.00460876
perm25	8694927.27418566
perm21	16447747.4080386
perm34	22597902.8161957
perm26	28384461.0157674
perm15	30568925.4380187
perm22	31238007.8077419
perm16	60095104.5119063
perm33	72000834.0510784
