Permutation	/home/josh/Documents/School/Capstone/BioNetFit/examples/example5/example5_example5
perm46	3672888.10128542
perm25	3694182.84550392
perm33	3694317.43059473
perm17	3694924.06330304
perm30	3694970.43505614
perm8	3695036.81987291
perm34	3695036.81987291
perm24	3695780.40321091
perm32	3696011.50201389
perm39	3699283.54723016
perm22	3700511.71755162
perm7	3704291.48744756
perm36	3704347.33518505
perm40	3707058.33335936
perm1	3710018.32261378
perm42	3710983.9812526
perm23	3714805.00729516
perm26	3720349.35016097
perm15	3731827.60766027
perm12	3738027.05696326
perm49	3745566.60319592
perm45	3746552.32692081
perm6	3749112.33683771
perm5	3757748.98692295
perm10	3779388.24499516
perm43	3812511.66064954
perm37	3815408.86293736
perm28	3817485.31977393
perm2	3826413.05972046
perm31	3840195.6098791
perm41	3854675.66453497
perm44	3906325.48492563
perm11	3917491.76436727
perm27	3917596.72753291
perm4	3931084.43170678
perm20	3992281.11267734
perm16	4034416.12783276
perm19	4045305.16217873
perm9	4051008.53864545
perm14	4072097.12034723
perm18	4104903.90949311
perm13	4202204.91717497
perm21	4203940.27319831
perm47	4321030.07294144
perm48	4387448.67187588
perm38	4448985.27071752
perm35	4718854.2152135
perm29	4736527.12073772
perm50	4994179.97115709
perm3	5134314.21685671
